source_an,source_form_codebook,source_form_numeric,source_form_raw,text,gt_protest_form
WESKU00020180328ee3s0001f,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
WESKU00020180401ee410001e_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Friedensdemo,Demonstration / Assembly
WESKU00020180411ee4b00019,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Flugblätter,Leaflet / Resolution / Open Letter
WESKU00020180411ee4b00019,"14 Unterschriftensammlung, Petition",14.0,petition,Petition,Petition
WESKU00020180411ee4b0001h,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
WESKU00020180411ee4b00023,10 Streik,10.0,strike,Warnstreik,Strike
WESKU00020180413ee4d0001l,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020180414ee4e0002n,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrierten,Demonstration / Assembly
WESKU00020180507ee52001t1,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020180507ee54000w1,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020180508ee580001b,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
WESKU00020180516ee5g0001q,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demo,Demonstration / Assembly
WESKU00020180528ee5s000g1,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020180531ee5v0000z,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Stunden-Demo,Demonstration / Assembly
WESKU00020180603ee630001n_SUN,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","Bremer lehnen unnütze Plastikhüllen ab und füllen vor dem Supermarkt im Walle-Center Lebensmittel in Flaschen, Gläser und Dosen um",Non-verbal Protest / Cultural Event
WESKU00020180608ee680001w,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",Flashmob,Non-verbal Protest / Cultural Event
WESKU00020180608ee680001w,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",als Bienen verkleidete Aktivisten in der Innenstadt versammelt,Non-verbal Protest / Cultural Event
WESKU00020180608ee680001w,"14 Unterschriftensammlung, Petition",14.0,petition,sammelten sie Unterschriften auf Postkarten,Petition
WESKU00020180609ee690000n,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",großen Stellwänden,Leaflet / Resolution / Open Letter
WESKU00020180609ee690000n,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Plakaten,Leaflet / Resolution / Open Letter
WESKU00020180610ee6a0001l_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demo-Rave,Demonstration / Assembly
WESKU00020180611ee6b0001v,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
WESKU00020180611ee6b0001v,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","Mehr als 2000 Unterschriften hat das kürzlich gegründete Bündnis \\""\""\""\""\""\""\""AfD Büro? Nirgendwo!\""\""\""\""\""\""\""\"" am Sonntag beim Stadtteilfest auf der Vegesacker Straße auf einem KFZ-Werbeanhänger gesammelt""",Non-verbal Protest / Cultural Event
WESKU00020180611ee6b0001v,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","dicht mit Signaturen übersäte etwa 11,5 Quadratmeter große Werbefläche betitelt, die anschließend unmittelbar gegenüber dem AfD-Büro aufgestellt wurde",Non-verbal Protest / Cultural Event
WESKU00020180611ee6b0001v,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",gut 1100 Flugblätter,Leaflet / Resolution / Open Letter
WESKU00020180611ee6b000e3,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","Die Teilnehmer packen eine Gelenkleiter aus - zum Treffpunkt transportiert mit dem Lasten-Fahrrad - und setzen sie quer über die Motorhaube des Wagens. Auf allen Vieren klettert Aktivistin Cornelia Ernst, Sprosse für Sprosse über das falsch geparkte Fahrzeug und überwindet die Kühlerhaube schließlich unbeschadet",Non-verbal Protest / Cultural Event
WESKU00020180611ee6b000e3,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","Er verziert die Motorhaube mit einer Spur aus \\""\""\""\""\""\""\""Kinderfüßen\""\""\""\""\""\""\""\"", wie er sagt""",Non-verbal Protest / Cultural Event
WESKU00020180611ee6b000e3,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","Den notwendigen Schlenker um den Wagen herum, markiert Köhler-Naumann mit orangefarbenen Plastikhütchen",Non-verbal Protest / Cultural Event
WESKU00020180612ee6c0003g,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrierten,Demonstration / Assembly
WESKU00020180615ee6f0001j,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",Unmittelbar vor der Präsidiumssitzung legte sich eine Teilnehmerin der Aktion nur in Unterwäsche und mit Fuchsschwanz und Fuchsohren bekleidet blutverschmiert vor das Maritim Hotel und das Congress Centrum,Non-verbal Protest / Cultural Event
WESKU00020180620ee6k0001n,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",den Bremer Marktplatz zu ihrem Sportplatz umfunktioniert,Non-verbal Protest / Cultural Event
WESKU00020180620ee6k0001n,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","Sie turnen um den Roland herum, spielen Handball und Fußball vor der Bürgerschaft",Non-verbal Protest / Cultural Event
WESKU00020180621ee6l0001w,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
WESKU00020180625ee6p00016,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",Kundgebungsfrühstück,Non-verbal Protest / Cultural Event
WESKU00020180625ee6p00016,13 Sachbeschädigung/Anschlag/Plünderung,13.0,attack with damage to property,einen Reifen zerstochen,Attack with Damage to Property
WESKU00020180708ee780001a_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrieren,Demonstration / Assembly
WESKU00020180708ee780001a_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Frauenmarsches,Demonstration / Assembly
WESKU00020180711ee7b0000f,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Fußgängerüberweg mit Parolen besprüht,Leaflet / Resolution / Open Letter
WESKU00020180711ee7b0000f,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Gedenkschreiben an den Pfosten hinterlassen,Leaflet / Resolution / Open Letter
WESKU00020180711ee7b0000f,13 Sachbeschädigung/Anschlag/Plünderung,13.0,attack with damage to property,Straßennamenschilder mit den Namen von Opfern der rechtsextremen Terrorgruppe überklebt,Attack with Damage to Property
WESKU00020180714ee7e00033,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",gezogen,Demonstration / Assembly
WESKU00020180714ee7e00033,10 Streik,10.0,strike,"statt in den Märkten in der Neustadt, in der Vahr und all den anderen Standorten zu arbeiten",Strike
WESKU00020180719ee7j00018,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",hunderte rechte Aufkleber in Vegesack verteilt,Leaflet / Resolution / Open Letter
WESKU00020180719ee7j00018,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",zogen 44 Neonazis und rechte Hooligans mit bengalischen Fackeln über den Campus der Uni Bremen,Demonstration / Assembly
WESKU00020180719ee7j00018,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",hissten ein fremdenfeindliches Banner,Leaflet / Resolution / Open Letter
WESKU00020180720ee7k0001k,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020180801ee8100012,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
WESKU00020180811ee8b0000v,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020180813ee8d0000p,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020180813ee8d0000p,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",Schweigeminute,Non-verbal Protest / Cultural Event
WESKU00020180813ee8d0000p,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Flyer verteilten,Leaflet / Resolution / Open Letter
WESKU00020180817ee8h0001f,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",Langsam schippert das selbst gebaute Holzfloß die Weser entlang,Non-verbal Protest / Cultural Event
WESKU00020180817ee8h0001j,"14 Unterschriftensammlung, Petition",14.0,petition,Sammlung von Unterschriften,Petition
WESKU00020180826ee8q00004_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
WESKU00020180829ee8t0001m,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demo,Demonstration / Assembly
WESKU00020180829ee8t0001m,13 Sachbeschädigung/Anschlag/Plünderung,13.0,attack with damage to property,zerstörten rechte Hooligans im Stadtteil Connewitz mehr als 20 Geschäfte und Kneipen,Attack with Damage to Property
WESKU00020180830ee8u0001c,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
WESKU00020180902ee920001d_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020180902ee920001l_SUN,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",eine Gruppe schwarz gekleideter Menschen,Non-verbal Protest / Cultural Event
WESKU00020180923ee9n0000t_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demo,Demonstration / Assembly
WESKU00020180923ee9n0001d_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
WESKU00020180924ee9o00017,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",spontanen Gedenkveranstaltung,Demonstration / Assembly
WESKU00020180927ee9r0002s,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","Zuvor war es ungewohnt ruhig gewesen im Weserstadion, nur vereinzelte Schlachtrufe waren zu hören und gelegentlich ein Raunen. Vier Ultra-Gruppierungen hatten im Vorfeld angekündigt, dass sie in der Anfangsphase schweigen wollen.",Non-verbal Protest / Cultural Event
WESKU00020180927ee9r0002s,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter","Sie schwiegen nicht nur, sondern hielten auch Banner hoch",Leaflet / Resolution / Open Letter
WESKU00020180927ee9r000ds,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrieren,Demonstration / Assembly
WESKU00020181007eea700028_SUN,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",verteilten Flugblätter an Passagiere,Leaflet / Resolution / Open Letter
WESKU00020181007eea700028_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",zogen mit Fahnen durch die Terminals,Demonstration / Assembly
WESKU00020181013eead0001j,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
WESKU00020181014eeae00019_SUN,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","rollten die Aktivisten am Nachmittag neben dem Dom etwa einen 15 Meter langen \\""\""\""\""\""\""\""Unrechtsweg\""\""\""\""\""\""\""\"" aus. Meter für Meter konnten die Passanten darüber laufen und sich über moderne Formen der Sklaverei informieren""",Non-verbal Protest / Cultural Event
WESKU00020181014eeae00019_SUN,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter","verteilten die Aktivisten blaue Armbänder mit der Aufschrift \\""\""\""\""\""\""\""#frei\""\""\""\""\""\""\""\"", mit denen jeder ein Zeichen setzen kann""",Leaflet / Resolution / Open Letter
WESKU00020181026eeaq0001j,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",versammelten,Demonstration / Assembly
WESKU00020181105eeb500020,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",offenen Brief,Leaflet / Resolution / Open Letter
WESKU00020181106eeb60006x,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
WESKU00020181106eeb60006x,"14 Unterschriftensammlung, Petition",14.0,petition,Volksbegehren,Petition
WESKU00020181108eeb8000cc,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Mahnwache,Demonstration / Assembly
WESKU00020181108eeb8000cc,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
WESKU00020181115eebf00007,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020181115eebf00007,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020181123eebn0001v,10 Streik,10.0,strike,die Arbeit durch Betriebsversammlungen unterbrochen,Strike
WESKU00020181124eebo0001v,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","150 Arbeitspakete in Form von Umzugskarton, die von den Beschäftigten ins Airbus-Werk getragen wurden",Non-verbal Protest / Cultural Event
WESKU00020181124eebo0001v,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020181206eec60001d,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020181218eeci0001e,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
WESKU00020190104ef1400006,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
WESKU00020190105ef1500015,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
WESKU00020190105ef150002b,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020190113ef1d0001f_SUN,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Flugblätter,Leaflet / Resolution / Open Letter
WESKU00020190115ef1f0001p,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Mahnwache,Demonstration / Assembly
WESKU00020190115ef1f0001p,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020190115ef1f0001p,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Gegendemonstration,Demonstration / Assembly
WESKU00020190116ef1g0002m,10 Streik,10.0,strike,Warnstreiktag,Strike
WESKU00020190116ef1g0002m,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020190118ef1i0001u,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriftensammlung,Petition
WESKU00020190119ef1j0001z,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020190127ef1r00016_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
WESKU00020190202ef220002m,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Fahrraddemo,Demonstration / Assembly
WESKU00020190213ef2d0002a,10 Streik,10.0,strike,Warnstreik,Strike
WESKU00020190213ef2d0002a,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020190213ef2d0002a,10 Streik,10.0,strike,Ausstand,Strike
WESKU00020190215ef2f0001c,"11 Blockade, Sit in",11.0,"blockade, sit-in",saßen stundenlang auf den Stufen des Treppenhauses,Blockade / Sit-in
WESKU00020190215ef2f0001i,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Marsch,Demonstration / Assembly
WESKU00020190220ef2k00013,10 Streik,10.0,strike,Warnstreik,Strike
WESKU00020190220ef2k00013,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020190223ef2n0000i,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",auf die Straße,Demonstration / Assembly
WESKU00020190304ef3400015,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
WESKU00020190304ef340009j,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020190304ef340009j,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Flyer,Leaflet / Resolution / Open Letter
WESKU00020190307ef37000bf,"14 Unterschriftensammlung, Petition",14.0,petition,sammelten Unterschriften,Petition
WESKU00020190307ef37000bf,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Flyer,Leaflet / Resolution / Open Letter
WESKU00020190310ef3a00024_SUN,10 Streik,10.0,strike,Warnstreik,Strike
WESKU00020190312ef3c0002a,10 Streik,10.0,strike,Warnstreik,Strike
WESKU00020190316ef3g00015,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demo,Demonstration / Assembly
WESKU00020190316ef3g00015,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020190316ef3g00015,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Abschlusskundgebung,Demonstration / Assembly
WESKU00020190316ef3g00015,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020190318ef3i00006,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",auf die Straße gegangen,Demonstration / Assembly
WESKU00020190322ef3m00018,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Protestbrief,Leaflet / Resolution / Open Letter
WESKU00020190324ef3o0000s_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020190324ef3o0000s_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020190324ef3o0000s_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",auf die Straße gegangen,Demonstration / Assembly
WESKU00020190328ef3s00016,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrieren,Demonstration / Assembly
WESKU00020190328ef3s00016,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebungen,Demonstration / Assembly
WESKU00020190329ef3t0001f,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demo,Demonstration / Assembly
WESKU00020190329ef3t0001f,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020190330ef3u00027,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
WESKU00020190331ef3v0000z_SUN,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
WESKU00020190403ef4300011,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrieren,Demonstration / Assembly
WESKU00020190405ef450001h,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",protestieren,Demonstration / Assembly
WESKU00020190406ef460001g,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
WESKU00020190408ef4800014,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020190408ef48000b5,"14 Unterschriftensammlung, Petition",14.0,petition,Petition,Petition
WESKU00020190411ef4b0001d,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstranten,Demonstration / Assembly
WESKU00020190411ef4b0001d,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",eine Liste mit ihren Forderungen überreichten,Leaflet / Resolution / Open Letter
WESKU00020190415ef4f00013,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Banner,Leaflet / Resolution / Open Letter
WESKU00020190416ef4g0009w,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Mahnwache,Demonstration / Assembly
WESKU00020190421ef4l0000v_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020190426ef4q00019,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Papier,Leaflet / Resolution / Open Letter
WESKU00020190426ef4q0001f,"14 Unterschriftensammlung, Petition",14.0,petition,Petition,Petition
WESKU00020190427ef4r00016,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
WESKU00020190502ef520000z,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebungen,Demonstration / Assembly
WESKU00020190502ef520005n,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebungen,Demonstration / Assembly
WESKU00020190503ef5300017,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",präsentierten,Demonstration / Assembly
WESKU00020190505ef550001x_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstranten,Demonstration / Assembly
WESKU00020190506ef5600019,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebungen,Demonstration / Assembly
WESKU00020190507ef5700001,"14 Unterschriftensammlung, Petition",14.0,petition,Petition,Petition
WESKU00020190514ef5e0001z,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020190515ef5f00028,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020190517ef5h0001g,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Fahrradprotest,Demonstration / Assembly
WESKU00020190518ef5i0001q,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
WESKU00020190525ef5p0000m,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstranten,Demonstration / Assembly
WESKU00020190526ef5q0000z_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Sternmarsch,Demonstration / Assembly
WESKU00020190527ef5r0000m,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstranten,Demonstration / Assembly
WESKU00020190527ef5r0000x,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Cornern am Eck,Demonstration / Assembly
WESKU00020190527ef5r0000x,13 Sachbeschädigung/Anschlag/Plünderung,13.0,attack with damage to property,"brachten Gegenstände wie beispielsweise Reifen und Paletten mit, die sie anzündeten",Attack with Damage to Property
WESKU00020190527ef5r0000x,13 Sachbeschädigung/Anschlag/Plünderung,13.0,attack with damage to property,Mit Steinen warfen sie Schaufensterscheiben umliegender Geschäfte ein,Attack with Damage to Property
WESKU00020190529ef5t0001e,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrierten,Demonstration / Assembly
WESKU00020190529ef5t00079,10 Streik,10.0,strike,Warnstreik,Strike
WESKU00020190531ef5v00006,"14 Unterschriftensammlung, Petition",14.0,petition,"Stimmen gesammelt, um im Februar den Volksentscheid zu erreichen",Petition
WESKU00020190531ef5v0001j,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020190601ef610001u,10 Streik,10.0,strike,Warnstreik,Strike
WESKU00020190601ef610001u,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter","Statt als großer Demonstrationszug durch die Straßen zu gehen, informierten Verdi und die Streikenden mit Infoblättern.",Leaflet / Resolution / Open Letter
WESKU00020190606ef660001a,"14 Unterschriftensammlung, Petition",14.0,petition,Mehr als 200 Unterschriften haben er und seine Mitstreiterinnen gegen den geplanten Bau gesammelt und diese nach eigenen Angaben über den SPD-Fraktionschef Björn Tschöpe an die Wissenschaftsbehörde überreicht.,Petition
WESKU00020190608ef680003g,10 Streik,10.0,strike,Warnstreik,Strike
WESKU00020190608ef680003g,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Die Streikenden zogen nach der Kundgebung weiter durch die Innenstadt zum Verdi-Gewerkschaftshaus am Bahnhof.,Demonstration / Assembly
WESKU00020190608ef680003g,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020190611ef6b0002n,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrierten,Demonstration / Assembly
