item_id,text,gt_issue
99908_21,Covid recovery,Coronavirus
100047_22,Climate change,environment
100140_23,Cost of living,living costs
100222_22,Covid,Coronavirus
100223_21,Covid,Coronavirus
100470_22,Inaction on climate change,environment
100701_23,Inflation,inflation
100818_23,increase in domestic energy,living costs
100837_23,Rising prices of food .fuel e.t.c,living costs
100894_21,Our calamitous exit from the EU and the inept contract.,europe
100980_23,Economy,economy-general
101017_21,Climate change,environment
101017_22,Global warming / Climate change,environment
101098_22,Crime,crime
101389_23,Inflation,inflation
101602_22,Political Correctness and lack of unity,pol value-auth
101805_21,covid,Coronavirus
101819_23,Price rises,living costs
101844_22,Wealth inequality,inequality
101891_21,effects of covid,Coronavirus
101892_22,COVID,Coronavirus
102011_22,Inflation,inflation
102060_23,Economy,economy-general
102060_21,Climate Change,environment
102118_21,Immigration,immigration
102145_23,Cost of Living,living costs
102321_23,Climate change,environment
102381_22,government interference in life,Coronavirus
102487_22,Coronavirus,Coronavirus
102535_23,Taxes,taxation
102631_21,Covid,Coronavirus
102763_23,Cost of living crisis,living costs
102789_23,the Ukraine conflict,war
102803_23,Inflation,inflation
102857_23,Illegal immigration,immigration
102999_21,Covid 19,Coronavirus
103040_21,Covid,Coronavirus
103063_21,Travel Industry Decline,COVID-economy
103139_22,Covid,Coronavirus
103179_21,Covid,Coronavirus
103228_22,NHS backlog,health
103263_21,COVD19,Coronavirus
103428_21,The coronavirus pandemic,Coronavirus
103503_21,Coronavurus,Coronavirus
103635_21,"CoViD recovery, Vaccine rollout,",Coronavirus
103656_21,COVID,Coronavirus
103750_23,Energy costs,living costs
103765_21,Covid,Coronavirus
103782_21,Corona virus,Coronavirus
103789_22,Covid pandemic,Coronavirus
103808_23,Cost of living increases,living costs
103834_22,Covid,Coronavirus
103845_23,Cost of living,living costs
103854_23,Cost of living and paying bills,living costs
103904_21,Covid,Coronavirus
103919_22,illegal immigrants,immigration
103952_23,Climate change,environment
103956_21,Covid-19,Coronavirus
103965_21,Covid,Coronavirus
103981_23,Cost of living,living costs
103983_23,Health,health
104015_21,Poverty,poverty
104047_21,Corona virus,Coronavirus
104133_21,covid,Coronavirus
104297_22,COVID-19,Coronavirus
104304_22,COVID,Coronavirus
104389_21,Coronavirus,Coronavirus
104407_21,Coronarvius,Coronavirus
104611_21,The costs of covid,COVID-economy
104628_21,Covid pandemic,Coronavirus
104704_23,economy,economy-general
104720_21,Povert,poverty
104720_23,Climate change,environment
104729_22,Corruption in government,pol-neg
104753_23,Cost of living,living costs
104754_21,Covid,Coronavirus
104817_21,Covid 19,Coronavirus
104853_21,Covid,Coronavirus
104870_21,covie vir 19,Coronavirus
104887_21,Climate change,environment
104891_21,Climate change,environment
105191_21,Poor justice system,crime
105264_22,That we do not dilute or poorly patch up our standards pre Brexit & pre Covid time - otherwise irreparable damage will be caused and will be difficult to claw any credibility back. This will affect ALL other issues,europe
105316_21,Covid 19,Coronavirus
105381_23,Fuel crisis,living costs
105441_22,Covid,Coronavirus
105447_21,Cover 19 Indian strain,Coronavirus
105491_22,Economy,economy-general
105533_21,Covid-19,Coronavirus
105534_21,Brexit,europe
105541_21,COVID 19,Coronavirus
105553_22,Boris Johnson,partisan-neg
105569_21,Covid,Coronavirus
105582_23,Scottish independence,scot-ind
105655_21,Covid 19,Coronavirus
105701_21,Economic decline due to Brexit,europe
105773_21,COVID,Coronavirus
105804_21,Inequality,inequality
105805_21,covid,Coronavirus
105812_22,The Uk Government,pol-neg
105819_21,Population growth,immigration
105859_21,Trade,international trade
105894_21,corona virus,Coronavirus
105894_22,covid,Coronavirus
105943_23,Peace,war
105986_21,Brexit,europe
106013_23,Putin's madness,foreign affairs
106259_23,Rising prices for living,living costs
106318_23,Economy,economy-general
106329_22,Crime,crime
106377_23,Cost of living crisis,living costs
106413_23,Economy,economy-general
106468_23,War in Ukraine,war
106560_22,The economy and job opportunities,economy-general
106616_23,The cost of living,living costs
106627_23,Economic,economy-general
106650_22,Brexit,europe
106651_22,CLIMATE CHANGE,environment
106766_23,Climate emergency,environment
106781_23,Economy,economy-general
106853_22,Government over reaction and continued control due to covid,Coronavirus
106905_22,Coronavirus,Coronavirus
106915_22,Economy,economy-general
107050_23,Rise in cost of living,living costs
107159_23,Cost of living,living costs
107254_23,War in Europe,war
107592_23,Cost of living,living costs
107603_23,Cost of living,living costs
107606_23,Immigration,immigration
107726_23,Cost of living,living costs
107768_23,The cost of living,living costs
107834_23,Money,economy-general
107849_23,cost of living going up,living costs
107879_23,The cost of living crisis,living costs
108316_23,Disbelief in the salvation of Jesus Christ,morals
108393_23,Unemployment,unemployment
108831_23,Corruption and persistent lies by government,pol-neg
108835_23,Cost of living,living costs
108841_23,Inflation and cost of living,inflation
109003_23,Energy prices,living costs
109054_23,War in Ukraine,war
109067_23,Increase in living prices,living costs
109072_23,food poverty,living costs
109196_23,"Rising prices in electricity, petrol etc",living costs
