text,gt_event_type
A 22 year old man was shot dead at his doorstep by two unidentified assailants.,ASSASSINATION
A man killed his daughter for marrying out of her own choice. The police arrested the man.,ASSASSINATION
2 people were killed and 3 were injured in a clash between two rival groups in Shahbazkhel on Sunday.,RIOT
"Talib Hussain was killed by his 4 armed relatives in village Lakho, Kahna, over a property dispute.",ASSASSINATION
"Enraged activists of the JSQM took to the streets in various areas of Sukkur, barricaded highways, burnt tyres to vent anger against the arrest of their leader by the law enforcement, demanding his release. A complete shutter-down strike was observed.",VIOLENT_POLITICAL_DEMONSTRATION
"The decomposed body of Amanullah- son of Juma Khan, of Jhok Qureshian- was recovered from a forest by the Gomal University police.",ASSASSINATION
5 bullet-ridden bodies were found with a note attached claiming that they were US spies and that any other person caught spying would meet the same fate.  2 other bodies were found in Qutabkhel area and Mirali Bazar which are assumed to have suffered a similar fate. ,ASSASSINATION
the Mehsud Scouts impounded a vehicle and arrested a militant after an exchange of fire with militants fleeing from the Chapari area.,GOV_ATTACK_ON_NONSTATE_COMBATANTS
A man killed his wife outside his residence. He claimed that his wife was trying to flee the residence which Is why he opened fire on her. He later surrendered himself to the police.,OTHER
Three minor sisters were found murdered on the second storey of their house by their grandmother. Their father was a proclaimed offender and mother was absent. The motive behind the killing could not be ascertained. ,ASSASSINATION
Military spokesman Major General Atthar Abbas claimed that 21 terrorists had been killed during the succesful take-over operation in Kotkai over the span of two days while three security personnel laid down their lives with another eight wounded.,GOV_ATTACK_ON_NONSTATE_COMBATANTS
"A 10 year old girl was in the field with her cattle along the LoC in Mandhar village when picked up a \mine-like\"" device hiding in the bushes. This device exploded, blowing her hands off.""",OTHER
"the civil lines police found the body of a man, Fahim Anjum, lying in a nullah at Gulistan Colony.",ASSASSINATION
"A worker of MQM, Azeem, was shot dead while passing through Sector 36-B in Landhi.",ASSASSINATION
A Pesh Imam of a mosque was found murdered in his Hujra in Mosque in Liaqatabad on Saturday. ,ASSASSINATION
"A low-intensity blast, presumably caused by a cracker, partially damaged a shrine and injured two 'devotees'. It not be determined if the explosive device was flung from outside the shrine or if it was planted inside. ",TERRORISM
"A head constable was killed in Khuzdar by unidentified gunmen. Later, a man identifying himself as the spokesperson of Baloch Liberation Army claimed the responsibility for the attack.",TERRORISM
"Mohammad Ashraf, a PPP, a leader of IJI was stabbed to death and his son injured allegedly by PPP workers in a dispute over pitching of an election camp. Six PPP workers were arrested.",ASSASSINATION
"3 people were killed and 4 others were injured when a shell exploded inside a house in the Janet Shah village. The explosion occurred in the house of a scrap dealer. As the defused shells were collected from the conflict zone, the acrap dealer may have stored the shell.",OTHER
Tribal volunteers backed by gunship helicopters attacked the militant hideouts killing 10 militants an injuring 8 others.,GOV_ATTACK_ON_NONSTATE_COMBATANTS
"Five people, including two policemen, were injured when two persons riding a motorcycle hurled a hand grenade near a small road side restaurant. The police added that the imam of the BMC mosque was amongst the injured, and that the attackers had used a home-made device. ",TERRORISM
A blast occurred in a fruit vendors push-cart in front of the Old Kotiwali. The local Bomb Disposal Squad said it a was a home-made low intensity bomb.,TERRORISM
Two tribes exchanged a fresh wave of violence on an on going clash lasting 11 years.,RIOT
"8 militants were killed and 3 soldiers were injured as militants attacked a checkpost in Ghelju Area, Upper Tehsil on Saturday. A vehicle was also destroyed in the exchange of fire.",CONVENTIONAL_ATTACK_ON_GOV_FORCES
Protesters blocked the Sialkot Daska Road for many hours to demand action against the failure of the police to protect them from ruffians. They burnt tyres and pelted stones.The deputy commissioner and the SSP rushed to the scene and assured of a timely action.,VIOLENT_POLITICAL_DEMONSTRATION
"A grenade was thrown at Faqirabad mosque during Isha prayers, killing 1 and injuring at least a dozen others. Soon after the incident, Sipah-i-Sahaba Pakistan workers blocked a road to protest the attack. They also anounced a shutter down strike.",TERRORISM
An unidentified bullet riddled body of a young woman was found at Islam Chowk in Orangi Extension Area. ,OTHER
"Two people were killed and several injured in a bloody clash between two rival tribes in Jamrud. The clash broke out over the privileges granted by the political authorities to two clans of Zakakhel, one led by Malik Darya Khan and the other by Malik Mahmood Khan. Heavy weapons, including mortar guns and rocket launchers were used by the clashing groups.",RIOT
"Two motorcyclists opened fire at a car carrying Dawat-i-Islami chief,Maulana Muhammad Qadri. One of his companions was killed on the spot while another was injured and rushed to the hospital where he succumbed to his injuries the next day. The Dawat-i-Islami chief, who was on his way to the airport to catch a flight to attend a meeting of the Milli Yakjehti Council.",ASSASSINATION
A blast in the Court premises killed an elderly man.,TERRORISM
"militants fired 12 missiles on Khar. Two landed near the Bajaur Scouts Camp, two outside the officers' colony, one near a higher secondary school and the others hit civilian areas. One woman and two children were killed.",TERRORISM
"Amanat stabbed his younger brother, Karamat, and his wife and two children to death over a property dispute. The bodies were thrown in Upper Chenab Canal and had not been retrieved. ",ASSASSINATION
An unidentified young woman was shot dead by unknown men in Bahadarabad. The motive behind the murder was not known.,ASSASSINATION
"a suicide bomber on a motorcycle hit a bus carrying employees of the Kahuta Research laboratories at Choor Chowk on Peshawar Road, injuring more than 40 people. Windowpanes of several nearby buildings were smashed. At least 10 vehicles were damaged. The attack was described by the people as a grave breach in secuirty in the garrison city.",TERRORISM
fierce clashes between the security forces and the taliban militants loyal to Maulana Fazlullah. Helicopter gunships also shelled the area as well as targetting militant positions in Charbagh tehsil.,TERRORISM
"A bomb went off outside an auto workshop of the International Committee of Red Cross (ICRC) in Sufaid Dheri area, which damaged the wall of the building a bit.",TERRORISM
"In a clash between two groups of the Junejo tribe over irrigation water, one person was killed and another injured.",RIOT
miscreants blew up 4 transmission towers in Barkhan by planting explosive material around the structures.,TERRORISM
A man killed his teenaged sister in Wah village over suspicion of illicit relations.,ASSASSINATION
A bullet-riddle body was found. Police suspected that the victim was kidnapped from somewhere and killed before being thrown in the area. ,ASSASSINATION
"Between 400 and 500 people of a particular sect blocked the main road and tried to set tyres on fire at Chandani Chowk to protest the registration of a case against them under the Blasphemy and Anti-Terrorism Laws. The police used batons to disperse the crowd and also arrested over 30 people, who were released later in the evening. The case was registered in the aftermath of rally held recently where their rival sect attacked them after alleging that blasphemous sectarian slogans had been raised. ",VIOLENT_POLITICAL_DEMONSTRATION
A man was killed and two others were injured in a blast in Kohlu bazaar.,TERRORISM
"A partially decomposed body of a young man was found dumped in a well in Millat Gardens in Malir. The hands and feet of the deceased were tied, and the body bore marks of torture. ",OTHER
"Following the assassination of Syed Raza Haider, the MQM announced a 3-day mourning period. Armed men patrolled the streets to make sure that no one defied the morning call. Miscreants set ablaze a medical store in Islamabad Mohallah. ",VIOLENT_POLITICAL_DEMONSTRATION
One girl was killed while another was injured when they picked up a toy bomb which exploded.,TERRORISM
"A primary school teacher, who was to serve as an assistant presiding officer at the Arbab Bhai Khan polling station, was shot dead and two people were injured when a police constable (or a person wearing police uniform) fired on them.",TERRORISM
A 40 year old Mohajir Qaumi Movement activist was shot dead in Korangi after being kidnapped from Landhi a few hours earlier. ,ASSASSINATION
Maqsood Hussain was shot and killed. Nor further details given. ,VIOLENT_POLITICAL_DEMONSTRATION
Shopkeepers protested the arrest of their collegues by blocking the road and burning tyres. Their collegues were arrested by the traffic police as they were displaying merchandise on the footpath. The protest ended peacefully as the MNA Shabbir Ahmed Khan assured the protesters that the shopkeepers would be released. They later were released.,VIOLENT_POLITICAL_DEMONSTRATION
"The body of a labourer, Haq Nawaz, was found with injuries to the head. ",ASSASSINATION
"Protesters blocked National Highway at different points from Quetta to Karachi against the killing of Nawab Akbar Bugti. Protesters blocked the road between Gwadar and Karachi burnt tyresand pelted stones at vehicles. Balochistan National Party-Mengal Secretary General, Habib Jalib, said the protests will continue til the government decide to halt the military operation and resolve the issues politically.",VIOLENT_POLITICAL_DEMONSTRATION
Security forces killed two militants and arrested three suspects during operations in the teligram area of the Charbagh tehsil.,GOV_ATTACK_ON_NONSTATE_COMBATANTS
"Five militants were killed when security forces pounded militant hideouts in the Gurguri hilltop in the Bara tehsil, retaliation to an earlier attack.",GOV_ATTACK_ON_NONSTATE_COMBATANTS
"Troops on routine patrol were attacked with a roadside IED. 2 personnel, including a Major in the army, were killed while one other person was injured. ",GUERILLA_ATTACK_ON_GOV_FORCES
A doctor was found shot dead in his clinic. The police says it was a targetted killing.,ASSASSINATION
A constable was killed and three others were wounded when unidentified occupants of a yellow cab opened fire on the Model Colony police station.,CONVENTIONAL_ATTACK_ON_GOV_FORCES
"Prominent poet Mohsin Naqvi was gunned down by an unidentified assailant in Allama Iqbal Town. A worker of a nearby shop was also injured in the firing. The motive behind the murder could not be known, but sectarian motives could not be ruled out. The assailant had waited outside a shop to target the poet.",ASSASSINATION
"a labourer, Gul Mohammad, was found tortured to death in Mehran Town in Korangi. The ANP said that the victim was its worker.",ASSASSINATION
"District president of Tehrik-i-Jafria and a friend were killed while another was injured when two unidentified motorcyclists opened fire on them at a medical store in Khanewal. Later, police arrested seven suspects and workers of the Sipah-i-Sahaba Pakistan.",ASSASSINATION
several armed men opened firing and killed a girl and injured 7 others in Church Colony near Kot Salim.,TERRORISM
"Two rival groups, led by Rana Aizad and Shahbaz, of the Government College University Faisalabad resorted to aerial firing on campus. Police registered a case against more than two dozen members of both groups while took thirteen students into custody.",RIOT
"The Indian Security Forces continued firing on Zafarwal, Charwa, Bajwat, Chaprar, Harpal, Sucheetgarh, Bajragarhi and Shakargarh, Jammu, Oovi, Chhumb sectors. As a result, the firing killed 2 animals, badly damaged 6 houses. The Chenab Rangers returned the fire.",ATTACK_ON_STATE
The bomb disposal squad defused an IED that had been planted along a road. ,TERRORISM
a school girl and another were killed and 3 sustained injuries when unidentified persons sprayed bulltes on a passenger bus near an FC checkpost.,TERRORISM
During the strike called by the MQM Youngsters burnt tyres on the road and pelted police vans with stones. Police resorted to firing and tear gas shelling at various places including Kazi Abdul Qayyum Road and Sakhi Abdul wahab Complex. An exchange of fire between police and protesters also took place in New Cloth market area and a rickshaw was set ablaze on Jacob Road. ,VIOLENT_POLITICAL_DEMONSTRATION
An activist of MQM was shot at and injured by unknown assailants in Korangi on Friday.,ASSASSINATION
"Syed Nasim Shah, a landlord, was chatting with his friends outside his house when unidentified men fired at him killing him on the spot.",ASSASSINATION
A person killed his wife in Kando Hingorjo Village over karo-kari on Monday. His brother was also involved with him in killing.,ASSASSINATION
A young resident of Touheed Colony was shot dead by a rival group in retaliation for another murder the day before.  The boy's relative was accused of committing the previous murder.,ASSASSINATION
A shop keeper was shot dead in Gulshan-i-Iqbal.,ASSASSINATION
Two bullet riddled bodies of unidentified men were found. The bodies bore severe torture marks.,ASSASSINATION
One person was killed and another injured when unidentified gunmen raised anti-MQM slogans and fired at a procession going to attend a Quran Khwani for slain PSF leader Najib Ahmed.,TERRORISM
"In Kokrai area of Saidu Sharif, three miiltants were killed in a clash after an attack on a police vehicle. Six grenades, a Kalashnikov, a rifle and a pistol were seized.",CONVENTIONAL_ATTACK_ON_GOV_FORCES
"Following the assassination of Khalid Malik earlier during the day, employees of the SSGC gathered and tried to proceed to the Balochistan Assembly with the body of the victim. The police put up barricades to stop them. The mob pelted the police with stones and tried to remove the barricades, to which the police responded by firing tear gas shells. Witnesses also claim that the police fired at the crowd, injuring one protester. ",VIOLENT_POLITICAL_DEMONSTRATION
"Security forces carried out operations in the Razmak-Makin axis, killing four terrorists and arresting one from the areas of Tauda China Khula and Fort Knoll. ",GOV_ATTACK_ON_NONSTATE_COMBATANTS
Protesters blocked the road by burning tyres.,VIOLENT_POLITICAL_DEMONSTRATION
Another bomb exploded in the city but no loss of life or property occurred.,TERRORISM
A man and a woman were killed in the the Haji Ubedullah village on the pretext of Karo-kari by the woman's husband.,ASSASSINATION
"Zakir Hussain was targeted by two men on a motorbike who stopped infront of shop and fired at him, killing him on the spot. This was the second sectarian killing in as many days. The Jafria Alliance Pakistan criticised the government for not taking any action to stop targeted killings in Karachi. ",ASSASSINATION
"The Bomb disposal squad defused an explosive device planted outside a mosque. According to officials, MNA Usman Tarakai and MPA Javed Tarakai were the target of the sabotage attempt. ",TERRORISM
"A congregation of Zikrees, a small sect Muslims, was attacked with a bomb. The assailants tossed the bomb at the congregation and the explosion left at least 8 people, including 3 policemen, injured. Tension regarding the activites of this sect had increased recently with some groups calling for a ban on the former's congregations. ",TERRORISM
The JUI-F rally started form Chowk Bazaar's Masjid Wali Muhammad and ended near Ghanta Ghar Chowk. The participants chanted anti-US slogans and burnt US flags as well as an effigy of President Bush. ,VIOLENT_POLITICAL_DEMONSTRATION
the Taliban killed a junior officer of the Khasadar force after his abduction earlier this month. A chit was found on the body that stated that he was killed for spying on Taliban for the US forces.,ASSASSINATION
Police opened fire at a tribesman who 'aroused suspicion of the police' and then did not stop when the latter signaled him to. Three people were injured. ,GOV_ATTACK_ON_CIVILIANS
A watchman shot dead the alleged paramour of his wife and injured his wife for having illicit relations.,ASSASSINATION
Three people were injured in a bomb blast in the parking lot of the Lady Reading Hospital. The bomb also damaged three vehicles and shattered the windowpanes of cardiology ward. Police claimed it was a gas cylinder that caused the balst but failed to show the remains of the cylinder.,TERRORISM
"Enraged protesters took to the streets after the assassination of two religious scholars. They protested violently heading towards Soldier bazaar, Jamshed Road, Liaquatabad, and Nazimabad and blocked roads by burning tyres and pelting vehicles with stones. Two shops, a bank and a bakery were set on fire and looted located near the place where the killings took place. A man was shot and injured on Lasbela roundabout; and the protesters attacked press photographers near Guru mandir, smashing their cameras. A heavy contingent of police was deployed in the surrounding areas.",VIOLENT_POLITICAL_DEMONSTRATION
"According to reports, 6 people were killed and 5 others were injured in Tiarza.",GOV_ATTACK_ON_NONSTATE_COMBATANTS
"In bareech Market area on Sirki Road, two people were killed and another injured. A police officer termed it a case of target killing. ",ASSASSINATION
"A bomb was hurled at a police vehicle in Essa Nagri, but the explosion did not cause any damage. No other information was given.",GUERILLA_ATTACK_ON_GOV_FORCES
The bullet-riddled body of a young man was found outside Ali Imambargah. ,ASSASSINATION
"Security forces arrested nine suspected militants during a search operation in Darra Adam Khel. The forces seized weapons in a raid from arms factory, which had allegedly been supplying weapons to militants. The factory owner's nephew was killed in the raid when he tried to flee from being arrested.",GOV_ATTACK_ON_CIVILIANS
"A teacher of Baddomalhi School, Master Mohammad Asif, was shot dead outside his house while his father, who was also a teacher, received bullet injuries. The victims had woken up when they heard intruders and were shot at when they came out to investigate. ",ASSASSINATION
"A rally held by the All Pakistan Clerks Association (APCA) was stopped from reaching the Chief Ministers House by the police who used teargas to disperse the protesters. The APCA, which was demanding the payment of one month's salaries to government officials of Balochistan amongst other demands, had been warned against demonstrating in front of the CM House. The police claimed that the protesters hurled stones at the police, forcing them to retaliate with tear gas shelling. ",VIOLENT_POLITICAL_DEMONSTRATION
a soldier of the Mohmand Rifles was killed and 2 others were wounded in an attack by militants on the Derwazgai checkpost.,CONVENTIONAL_ATTACK_ON_GOV_FORCES
Five persons were injured when two groups of the Phulpoto clan clashed.,RIOT
a former Nazim of Peshtakhara union council Riaz Khan was shot dead outside Peshawar Central Prison while he was going home. The killing was over some old dispute between 2 parties led by Ghani and Sandal Khan. He was killed when the rival group opened fire on them.,ASSASSINATION
The Jihad Defence Forum comprising of wight Jihadi organisations announced that they will join the Jihad in Afghanistan in case of an American attack on it. ,THREAT_OF_VIOLENCE
"A group of unruly youths set a bus on fire on Mohammad Bin Qasim Road in the Arambagh area during  a strike in the areas of Liaquatabad and Orangi, in protest of the killings carried out in the areas.",VIOLENT_POLITICAL_DEMONSTRATION
"Bahawal Sher and Shahmand murdered their sister Ghulam Fatima with spades in a bid to grab her 72 canals agricultural land. The accused threw her body in a well and made it look like an accident, but post-mortem results showed she was murdered, after which the accused were arrested.",ASSASSINATION
"Following the death of an MQM worker, firing contunied during the day and 3 vehicles were set on fire. The MQM worker, Imran Qazi, was killed after a scuffle in a cricket match between two groups of young men where some people opened fire. ",OTHER
"Fifteen militants were killed and seventeen others were injured when security forces launched an offensive operation in the Zangi, Dogar Tarali and Marghan areas of Kurram. Security forces faced stuff resistance from militants and four soldiers were killed while 12 others were injured. ",GOV_ATTACK_ON_NONSTATE_COMBATANTS
The Local District Bar Association burnt an effigy of MQM chief Altaf Hussain for using foul language against the legal fraternity. The lawyers gathered outside the bar premises where they had setup a hunger strike campagain against the government for not establishing a High Court bench in the district. The bar members insisted that they register a case against Altaf Hussain.,VIOLENT_POLITICAL_DEMONSTRATION
security forces targeted a suspected suicide car in the Gagra area.,GOV_ATTACK_ON_NONSTATE_COMBATANTS
following the killing of the baloch nationalist leaders violence erupted in Balochistan. a mob entered the office of the district nazim and ransacked it.,VIOLENT_POLITICAL_DEMONSTRATION
" Violent protesters burnt the Gulistan Cinema, They also blocked National Highway by burning tyres at several places on the Highway. Protesters attacked the Quaidabad police station and Police and Rangers fired teargas shells to disperse the mob. There were several people injured, one police van, two petrol stations and a cinema were damaged. ",VIOLENT_POLITICAL_DEMONSTRATION
"During the strike called by Muttahida Qaumi Movement and Jiye Sindh Qaumi Mahaz, there were certain incidents of firecrackers exploding in some areas. However, the majority of the strike was peaceful. The strike was called to protest against police action and against the water shortage in the province.",VIOLENT_POLITICAL_DEMONSTRATION
"As part of the violence on the second day of a two-day strike called by the Mohajir Qaumi Movement (MQM), unidentified pedestrian was killed in a crossfire near Farooq Masjid.",OTHER
"The Alliance for the Restoration of Democracy tried to gather and protest on May Day, however most efforts were foiled by the police. In Lyari, PPP workers clashed with the police. The police baton charged them and resorted to aerial firing. ",VIOLENT_POLITICAL_DEMONSTRATION
"A 40 year old workers of the Muttahida Qaumi Movement, the father of two, was gunned down. Shahaab Raza Haider, a former unit-in-charge of Unit 179 and worker of Unit 173 , was sitting in a chair outside his car wash service station near Anjuman Islamia Market when two unidentified motorcyclists opened fire on him. Witnesses said that victim, who was also a former assistant sub-inspector of the Sindh police, died on the spot. ",ASSASSINATION
troops attacked suspected militant hideouts in Tiligram and killed 14 terrorists.,GOV_ATTACK_ON_NONSTATE_COMBATANTS
"Protesters, that included traders that had closed their shops, burnt tyres and raised slogans against Hesco for prolonged power outages. ",VIOLENT_POLITICAL_DEMONSTRATION
"Three people were killed in a clash between two rival groups in a village near Hasilpur, Bahawalpur when men armed with guns and clubs, belonging to the Bud clan, attacked the other clan's house in the Khairo Deh village. Sources said that that both clans had developed a feud and this violence was in continuation of that.",RIOT
An ex-armyman was tortured by the police during a raid.He was taken to the police station and tortured again till he died.,GOV_ATTACK_ON_CIVILIANS
"Edhi Highway Centre, Gujrat, in-charge Mubarak Husain Gulshad had a narrow escape when some unidentified men fired at him while he was asleep in his house. The motive behind the attack in not known.",ASSASSINATION
"The decomposed body of a youth was recovered from a field near Rachna Town. The victim was identified as Khalid, and there were several stab wounds on his body.",ASSASSINATION
"Ismatullah Sharif, the elder brother of PML MPA Muhamad Afzal Sahi, was killed by some unidentifed armed people when he was asleep in his Haveli. Police sources said the Sahi family had rivalries with some other parties of the area.",ASSASSINATION
"at least 19 rockets were fired on FC checkpost in Chashma, Loti, Pir Koh and Sangsilla areas of Dera Bugti. However no casualties were reported in the attack.",GUERILLA_ATTACK_ON_GOV_FORCES
"A powerful explosive device that was planted on the wall of a police post went off, damaging property. However, no loss of life or injury was reported.",GUERILLA_ATTACK_ON_GOV_FORCES
"Roshan Ali Shaikh and Razul, wife of Abdul Hakeem Shaikh, were stabbed to death by their cousin, Waheed Ahmed Shaikh, in the name of karo-kari. He then surrendered himself to the area police. ",ASSASSINATION
"According to reports, militants attacked the checkpost in Ormegi area, a gunbattle ensued leaving eleven militants and one soldier dead while four soldiers and six militants were injured. ",CONVENTIONAL_ATTACK_ON_GOV_FORCES
At least five policemen were injured when a home made bomb went off on the Sawal Dher road. It may also be noted that the area is notorious for attacks on the security forces.,TERRORISM
"As part of the protest against the police raid on Khidmat-i-Khalq of MQM, some protesters burnt the post office near Raja ki kothi, Shaheed Umaid Ali Kaimkhani office in Unit 4, two hilux-pick-ups and the sub division Wapda office in Affandi town. ",VIOLENT_POLITICAL_DEMONSTRATION
Thousands of villagers of Gangapur set on fire Buchiana police post and reduced it to ashes  to protest against the inefficiency of police in arresting the four dacoits responsible for killing a retired havaldar. ,VIOLENT_POLITICAL_DEMONSTRATION
Bomb disposal squad defused a time bomb that was otherwise due to exlode at a time when the area is normally occupied by women shoppers. A watchman had spotted the suspicious shopping bag and alerted the police. ,TERRORISM
"the police recovered the body of a PML-N women wing's Sahiwal President, Mrs. Gulzar Qamar, from the bank of the canal near Kinaan Park. She had gone missing 2 days ago.",ASSASSINATION
two rival groups of the Bugti tribe exchanged fire in the area over a land dispute. There were no casualties,RIOT
"Eight mortar and rocket shells were fired from the Afghanistan side into Angor Adda tribal region. One of the shells hit a bunker, which resulted in injuries to a soldier. ",ATTACK_ON_STATE
Vehicles carrying activists of MQM to a public meeting organised by MQM were pelted with stones and at Patel Para and Orangi Town. Several workers were injured.,TERRORISM
A girl 'K' was allegedly strangled by her brother for her bad character. She had eloped with a youth and later recovered through a panchayat. Her brother then killed her. ,ASSASSINATION
"A young man shot dead in his house by four unidentified men,after they barged into the house.The attackers managed to escape.",ASSASSINATION
Another device went off at the fish harbour causing panic among sleeping fishermen however no loss of life or injury was reported.,TERRORISM
Police resorted to teargassing to disperse some demonstrators on The Mall following a funeral prayer of the people killed in an early violent demonstration. The police had killed a few people in connection to an earlier demonstration. The demonstrators chanted slogans against the government for killing 'innocent and peaceful' protesters.,VIOLENT_POLITICAL_DEMONSTRATION
"7 unidentified armd men opened fire at a factory staff bus carrying about 50 factory employees, killing the driver and injuring 11 others. Soucres claimed that the attackers were Afghan refugess. ",TERRORISM
"On 15-Oct-10, several activists of the Muslim Students Federation (MSF) attacked and opened fire on members of the rival Islami Jamiat-i-Tulaba (IJT), injuring two IJT activists. ",RIOT
"Indian and Pakistani paramilitary troops traded heavy fire along the LoC after a 48 hour lul, but no casualty was reported. Indian and Pakistani authorities blamed each other for the fighting. Indian officials claimed the Pakistani Rangers began shooting after suspecting Indian authorities of laying a fence along the winding border of occupied Kashmir. The Pakistani officials said that the BSF (Border Security Force) opened unprovoked firing , and that the Indians also tried to violate the status of the working boundary in Kashmir.",ATTACK_ON_STATE
4 men fired on Allah Noor.,ASSASSINATION
One person was killed by four villagers over a land dispute.,ASSASSINATION
Security forces continued to pound militants hideouts in Matta tehsil.,GOV_ATTACK_ON_NONSTATE_COMBATANTS
"Unknown gunmen targeted construction workers, killing two and injuring 1. All the victims belonged to the Hazara tribe. ",ASSASSINATION
An elderly man was found butchered at his green town house on Saturday. He was alone in house and his family went to Khanewal to celebrate eid,ASSASSINATION
Militants continued attacks on the cantonement and city areas of Kohat for the second consecutive day. Militants fired rockets at an ammunition depot of the security forces from the Bezote area but the rocket missed its target and exploded in a pond in Sheikhan.,CONVENTIONAL_ATTACK_ON_GOV_FORCES
3 people were killed and 3 were injured due to Indian shelling across LoC in Neelum valley on Sunday,ATTACK_ON_STATE
"One Mazhar Hussain along with his friend Nazar Husain of village Chuttan, murdered his wife suspecting her chastity.",ASSASSINATION
"A Shia leader, Syed Asad Ali Raza Abidi, was shot dead by 4 gunmen at an Imambargah Gulistan-i-Marfat on College road. The killing was the outcome of a rivalrty between two shia groups.",ASSASSINATION
"A Lashkar-i-Islami supporters was killed and another injured near Anjari Khwar in Bara, in an attack by supporters of the rival, Ansar ul Islam, group.",ASSASSINATION
2 groups of student of the Karakoram International University clashed over a petty dispute promting administration to call the police and control the situation. The police had to fire tear-gas shells to disperse the students.,OTHER
"more than 2000 prisoners of the district jail burnt the official record and demolished mud walls of the wards and climed on top of the barracks, in protest against the alleged torture of 4 prisoners by the jail staff. The prisoners also tortured a few constables. the police shelled tear gas, but it intensified the protest.",VIOLENT_POLITICAL_DEMONSTRATION
At least 5 passengers were injured when a bomb planted on Indus Highway exploded. The passengers were travelling to Kohat from Peshawar. Militants also fired 14 rockets at different areas in Darra Adamkhel but no losses were reported. ,TERRORISM
"3 people were killed and 18 others were injured, 8 of whom were policemen, in a clash between the Bengali Para residents and the police. The residents had assembled outside the Ibrahim Hyderi police station to protest against the arrest of some members of the locality and demand their release. around 400 people ransacked the police office and broke the windscreen of the parked police van. the police lobbed tear-gas and both sides clashed. the police said that no clash had taken place. police said the Bengalis had kidnapped three people and when they received this information they went to the colony they found the bodies.",VIOLENT_POLITICAL_DEMONSTRATION
"Armed men on a pick-up shot at children playing outside their school, wounding 4 of them, and drove off. The wounded children belonged to the Turi Alizai tribesmen.",TERRORISM
A murder accused was tortured to death by the police . ,GOV_ATTACK_ON_CIVILIANS
A top militant leader and his seven accomplices were captured after an exchange of fire between the security forces and militants in the Spin Thall area of Hangu after militants opened fire on a convoy patrolling the area.,CONVENTIONAL_ATTACK_ON_GOV_FORCES
During a protest demosntration the Iranian Cultural Centre on the Mall was set ablaze by activists of the SSP who had gathered for the funeral prayers of their chief Maulana Ziaur Rehman Farooqi who was killed in a bomb blast the day before. An MCL fire fighting squad was turned back after they were pelted with stones. Law firms situated in the same building were also gutted. ,VIOLENT_POLITICAL_DEMONSTRATION
One student was injured when MSF members attacked a group of ATI students and a clash ensued. The police arrested several activists.,RIOT
Residents of Taxila and businessmen burnt tyres and placed heavy stones to block the road to protest against prolonged power outages. ,VIOLENT_POLITICAL_DEMONSTRATION
"Unidentified people opened fire at a car, killing one person and wounding the other. The injured victim was Dawood Khan Wazir, who was a provincial council member of the ANP, and the deceased was his brother Irfan Khan Wazir. ",ASSASSINATION
"Mureed Khan Bugti, a close aide too Brahamdagh Bugti, a member of the central executive committee of Balocj Republican Party was shot dead in Mari Jalbani village, when they were attacked by three men while in the latters house. The police said the incident seemed to be linked to an old enmity.",ASSASSINATION
"An organization of the Sheikhmalkhel tribe in Bara, thrashed and jailed a journalist for misreporting the activities of the organization. The journalist who belongs to the same tribe was on official duty when he was picked up and severly beaten before being put in a private jail.",OTHER
Shahzad Raza was intercepted by two men on a motorbike and shot dead. The victim's elder brother had been targeted in a similar fashion earlier in the month and the Jafaria Alliance Pakistan claimed that both incidents were part of a new series of sectarian target killings. ,ASSASSINATION
Unidentified men shot dead Haji Nawab in T & T Colony. Haji Nawab was a resident of Bilal Colony.,ASSASSINATION
"a taxi driver, Mohammad Nasir, was killed by unidentified people in in Patana.",ASSASSINATION
A woman was killed by her brother and husband for on suspicion of loose morals.,ASSASSINATION
A police officer's bullet-riddled body was found from the Saeedabad police area. ,OTHER
Five more civilians were killed and sixteen were injured in the Indian firing along various sectors across LoC.,ATTACK_ON_STATE
"The bullet-riddled body of a young man was found from the Mowach Goth area. According to officials, the body may have been lying there for two days. The victim was blindfolded and received a single bullet-wound to the head. ",ASSASSINATION
"Violence, which erupted after the killing of two MQM-H activists, continued with rival political groups trading fire and property being damaged. A Pakistan Steel bus was set on fire, while another bus was later set ablaze as well. A 15-year-old boy received bullet injuries due to gunfire in Korangi's Labour Square area. ",VIOLENT_POLITICAL_DEMONSTRATION
"A rocket fired from the West of Quetta landed on the White Road behind Governor's House, causing panic in the area. It was a 107mm rocket. No loss of life oroperty was however reported. No one claimed responsibility for the attack.",TERRORISM
Chief of Jogezai tribe and a leader of PAMP was injured along with his driver in an armed attack on his vehicle by unidentified men.,ASSASSINATION
"Six rockets were fired on the Larkana Sugar Mills, damaging its boiler and other structures. The heavy exchange of fire between the attackers and the guards on duty was followed by the attack which created panic in the mill and its residential colony. A bullet also hit the vehicle of Resident Director of the mill, during the exchange of fire, but he escaped the attack. ",TERRORISM
"a bomb exploded in Gwadar, smashing window-panes of houses on the hospital road. No casualties were however reported.",TERRORISM
"Hafiz Syed Hassan, who was an SSP activist was shot dead by assailants who entered his house/clinic, posing as patients, and opened fire at him. ",ASSASSINATION
A tehsil coucillor died of injuries sustained in an acid attack by her husband,OTHER
