text,target,gt_stance,target_short
@ericbolling let @MichelleFields loose on @TheJuanWilliams when he makes idiotic unsubstantiated statements. #CashinIn,Donald Trump,NONE,Trump
@docweiser01 @ericbolling @JonathanHoenig @MichelleFields Morning Doc! (hugs),Donald Trump,NONE,Trump
@1962Kiser @FanOfGreenMMs @ericbolling @jhodnot that's the one heard it causes sterilization in dem voters. err lab rats,Donald Trump,NONE,Trump
@SCOTUScare penned by @ChiefJusticeJR  ends rule of law and freedom. What law will SCOTUS  edit next? @RedNationRising,Donald Trump,NONE,Trump
Whenever Iran stalls  O's response is to make up new talking points!,Donald Trump,NONE,Trump
"@ericbolling Juan says status quo is not working. Remember ""Detente or MAD? They worked!",Donald Trump,NONE,Trump
"Under O & Kerry's deal, if the ayatollahs want to keep their nuclear toys  they can keep their nuclear toys! PERIOD!",Donald Trump,NONE,Trump
I really hate these stunts.  We already know how ignorant the post-Reagan generations are.,Donald Trump,NONE,Trump
"And ask for handouts @jjauthor: When your family is short of money, do you take Lib option to increase spending? #racism",Donald Trump,NONE,Trump
"Why does O refer to Iran, Hamas, Ebola, and ISIS in dramatically less critical terms than he does Republicans?"" #tcot",Donald Trump,NONE,Trump
Right on @ericbolling Racial fatigue and real depression is running rampant in our country these days.,Donald Trump,NONE,Trump
"@ericbolling ""I'm suffering from a severe case of racial fatigue.",Donald Trump,NONE,Trump
@ericbolling Sorry you got shut down during the Factor last night by a useless news break. The portion you aired was potent.,Donald Trump,NONE,Trump
"Matters more today, then last week or yesterday.  IF YOU SEE SOMETHING SAY SOMETHING.  Bad is not even a word yet.",Donald Trump,NONE,Trump
@inmatemd @ChuckNellis @Oh_MarieLoDuca We can only hope,Donald Trump,NONE,Trump
Can we ask for equality in the USA and get rid of a Confederate flag that has a ton of history ? meanwhile we have clowns like,Donald Trump,NONE,Trump
The whole Latino community will not be voting for,Donald Trump,NONE,Trump
"IRS + Hillary Both ""Lost"" Government Emails: This Situation is as Clear as Day - The #Obama Admin is Destroying Evidence!",Donald Trump,NONE,Trump
"@realDonaldTrump You have a real shot at POTUS Mr. T, the debates will be the true litmus test.",Donald Trump,FAVOR,Trump
@WayneDupreeShow  I'm just jealous that us NORMAL hetero people don't have a flag or pride week or a parade,Donald Trump,NONE,Trump
@Colin_McManus7 2016 is the first election I can vote in and I am proudly voting for @realDonaldTrump #trumpforpresident,Donald Trump,FAVOR,Trump
Trump Tower is not on fire. It is The Avery building. The only Trump fire is the one that I hand out when #YoureFired #TrumpRules,Donald Trump,FAVOR,Trump
RT @_CFJ_: RT @bcwilliams92 Let's get this CLEAR! I DID NOT I REPEAT DID NOT vote on TPP  ~ Ted Cruz #CruzCrew...,Donald Trump,NONE,Trump
Imagine looking out at the world and the America Obama has created while thinking things are better?  My god...  #tcot #PJNET,Donald Trump,NONE,Trump
Unfounded data/support for such drastic claims to be made against Mexico & all its ppl sorry guys I guess I rape & sell drugs,Donald Trump,AGAINST,Trump
"I love it when #conservatives say #government is #tyranny and out to get us, then in D next sentence say #SupportOurTroops :",Donald Trump,NONE,Trump
I like many entries in the 2016 Presidential race; but no one is more accomplished than Donald Trump. His cabinet will be full.,Donald Trump,FAVOR,Trump
@Jewtantandproud @TookyMonster the new and cool meme is to post a video of you eating a banana. I will if you will! #bananavideo,Donald Trump,NONE,Trump
RT @MissSweets2: MSM is defending a wht woman posing as blk & forgets about AMERICANS held in Iran! Time to #RedNationRising...,Donald Trump,NONE,Trump
@realDonaldTrump Go get 'em Mr. Trump!!!,Donald Trump,FAVOR,Trump
A vote against Trump is a vote against America,Donald Trump,FAVOR,Trump
RT @reel_fisherman6: I think Donald would bring this country back to where we used to be,Donald Trump,FAVOR,Trump
"My Message To LGBT Rights Supporters: If You Hate America, Please Leave.",Donald Trump,NONE,Trump
@2AFight All these shootings in America are planned. Stay safe stay second amendment. Illegal guns kill people way more wtf?!!!,Donald Trump,NONE,Trump
I really hope @realDonaldTrump doesn't combover and shoot me with the pistol he's constantly packing..,Donald Trump,AGAINST,Trump
"For the record, as a #Latino, (#Peruvian to be specific), let me state the obvious: #FuckTrump",Donald Trump,AGAINST,Trump
@MoneyForLies #LOLZ Apparently you're unaware of history. What are you? Six? Or merely ignorant?  @TheDemocrats  @mmfa,Donald Trump,NONE,Trump
@realDonaldTrump you're the man for the job #MakeAmericaGreatAgain,Donald Trump,FAVOR,Trump
Obama is Liberalism's false idol. Reject that P.O.S. #VoteOutRino's #BoycottMSNBC #VoteCruz #MichelleObamaIsAMan,Donald Trump,NONE,Trump
all #war is on YOU! The evil machine WANTS to control U. #tcot #tlot #dems #teaparty #occupy  #cdnpoli #privacy #Love #art,Donald Trump,NONE,Trump
@marypatriott @steph93065 @RealJamesWoods why not feed these disgusting s.o.b to the Muslims they would love em.,Donald Trump,NONE,Trump
@Rene_gadeCowboy @danoroadblade yes but if a cop bust a bunch of people having a riot it is a hate crime,Donald Trump,NONE,Trump
@realDonaldTrump we need someone like you who won't back down to ANYONE or ANYTHING,Donald Trump,FAVOR,Trump
#LoveWins ---> I'm hating the rainbow because of this!!#NoToGayMarriage #Wakeuplebanon,Donald Trump,NONE,Trump
@chriswallace There may be 2000 nutjobs of that number and all they need to do is find eachother. The net has given that #FNS,Donald Trump,NONE,Trump
I Can't Believe How Many Followers I Gained Today,Donald Trump,NONE,Trump
@wpaulsen31 If a candidate seems to dumb to debate my paper boy hes not getting my vote,Donald Trump,NONE,Trump
@haleyelenaa and his favourite beaches are probably in Acapulco and Cabo,Donald Trump,NONE,Trump
@GeraldoRivera @realDonaldTrump Don't apologize for the truth. People are too sensitive. #MakeAmericaGreatAgain,Donald Trump,FAVOR,Trump
Everybody get on the Trump Train!! It's a First Class One-Way ticket to the White House with @realDonaldTrump,Donald Trump,FAVOR,Trump
Time for Texas & Oklahoma to think about a no fault divorce from the Divided States of America.   #TCOT #CCOT #tippingpoint,Donald Trump,NONE,Trump
@ForQ2 I guess @realDonaldTrump really doesnt like or respect any politicians. .I respect him even more for that.,Donald Trump,FAVOR,Trump
"...And of course, God bless America!! #tcot  #teaparty",Donald Trump,NONE,Trump
"hey y'all giving a big old s/o to donald trump, we settled our differences and are butt tight now",Donald Trump,FAVOR,Trump
"In todays America, does Honesty mean you are a Bigot?  I Hope not! @JonathanHoenig @JudgeJeanine #TheFive #Hannity",Donald Trump,NONE,Trump
Black lives only matter to politicians around election time.,Donald Trump,NONE,Trump
571 Days Left Until Obama Leaves The White House.,Donald Trump,NONE,Trump
Trump believes in traditional marriage so strongly that he's been traditionally married 3x. He should teach a class or something.,Donald Trump,AGAINST,Trump
@realDonaldTrump we need a president who cannot be bought.,Donald Trump,FAVOR,Trump
"@KidDynamiteBlog Between #Hillary2016 ""a sadistic psychiatric nurse let loose in a lunatic asylum"" & #bush16 ppl may vote #Shit!",Donald Trump,NONE,Trump
We have become a nation where decisions are based on feelings and not on facts.  #tcot #ycot,Donald Trump,NONE,Trump
I admire how real and unapologetic Donald Trump is on his Political standpoints,Donald Trump,FAVOR,Trump
@thereaIbanksy stop making racist peopld rich!,Donald Trump,NONE,Trump
"Be prepared - if we continue the policies of the liberal left, we will be #Greece -",Donald Trump,NONE,Trump
@realDonaldTrump Probably because @jorgeramosnews had to change it after you published his old one on Instagram #TrumptheChump,Donald Trump,AGAINST,Trump
"RT @bdckool: .@realDonaldTrump Of you can do for America what you did for your businesses, you will secure my vote.",Donald Trump,FAVOR,Trump
Reminder: DemocRATs STOLE  $716 Billion from Medicare f/ the elderly & gave it to Medicaid to help pay for #Obamacare.,Donald Trump,NONE,Trump
@thehill you continue to shoot yourself in the foot. I guess this is for entertainment purposes only!,Donald Trump,NONE,Trump
@realDonaldTrump I feel the train is gaining steam.,Donald Trump,FAVOR,Trump
@realDonaldTrump Hell I'm from the UK and I believe @realDonaldTrump would make an amazing WORLD Leader,Donald Trump,FAVOR,Trump
I'm confused?? An unarmed fugitive was shot this weekend while running from an officer.  No rioting? No dismissal? A hero?,Donald Trump,NONE,Trump
Trump: Chicago is a great city. I love spending time in my building.,Donald Trump,NONE,Trump
@realDonaldTrump I recommend @seanhannity as Sec of Defense and @marklevinshow as your new Atty General.,Donald Trump,FAVOR,Trump
Is #Greece waking up to the disaster of #Socialism and a world without borders?,Donald Trump,NONE,Trump
Really respect @realDonaldTrump for giving up #TheApprentice to make way for his #campaign #AmericaNeedsThis #GodBlessedAmerica,Donald Trump,FAVOR,Trump
This country doesnt have victories any more.  When is the last time we beat china in trade? #talkcityclub,Donald Trump,NONE,Trump
"Putting Our Marines on non US flagged Ships would be against everything that is America, for Gods sake end #Progressivism",Donald Trump,NONE,Trump
If the Obama cabinet was on the apprentice who would you fire?  Kerry was the answer. #talkcityclub,Donald Trump,NONE,Trump
".@robertthedeuce True, @Obama @MSNBCYourBiz @AlanColmes doesn't care, It's NOT their money. Wait-up Greece, We're coming.",Donald Trump,NONE,Trump
I guess NBC does not like to hear the truth.,Donald Trump,FAVOR,Trump
Y'all knew it was going to happen.  Wasn't it just a matter of time?,Donald Trump,NONE,Trump
.@nbc ends relationship with @realDonaldTrump over his disgusting derogatory remarks. This man ha no place in the White House.,Donald Trump,AGAINST,Trump
@realDonaldTrump is such an idiot. He's risking way to much for something he'll never get.,Donald Trump,AGAINST,Trump
"So, Donald gets fired, but reverend Al is still employed. Both are idiots. Makes zero sense, #NBC",Donald Trump,AGAINST,Trump
"Props to @nbc, they are connected to Telemundo. Even more impressive they dumped Trump after Univision squabble. #DumpTrump",Donald Trump,AGAINST,Trump
I suddenly find myself liking @nbc a whole lot more than ever before.forPresidentoftheClubofIdiots,Donald Trump,AGAINST,Trump
Will FOX News pick up #MissUSA and #MissUniverse?  Stay tuned to find out.  #YoureFired #NBC #FoxNews,Donald Trump,NONE,Trump
@politico is there anybody more sue happy than this fool? #trump #lawsuitabuse,Donald Trump,AGAINST,Trump
Hey #UniteBlue look at #Greece - that's America's future thanks to you and Obama adding 8 Triion in U.S. debt.,Donald Trump,NONE,Trump
@realDonaldTrump he is a real leader and deserves to be President.,Donald Trump,FAVOR,Trump
Donald Trump:  proof positive that Gigantism is the last stage before extinction. #MissUSA,Donald Trump,AGAINST,Trump
Kudos to Donald Trump for telling off NBC. The media HATES the GOP'S & will do ANYTHING to destroy them. #NBC #mediaatfault,Donald Trump,FAVOR,Trump
"One of the key problems today is that politics is such a disgrace, good people don't go into government. - @realDonaldTrump",Donald Trump,FAVOR,Trump
"Really #DonaldTrump, all Mexican people are rapists, but you assume SOME are good people... #IdiotNation #facepalm",Donald Trump,AGAINST,Trump
"The Left fear Donald Trump, BIG TIME! @realDonaldTrump",Donald Trump,FAVOR,Trump
@cvpayne @FoxBusiness yup you got that right,Donald Trump,NONE,Trump
#TheFive Geraldo is an ass and when he spews his leftist BS he makes me sick TURNING OFF THE FIVE #TheFive,Donald Trump,NONE,Trump
Go back to focusing on brainless beauties... Oh wait you can't cuz you've been fired #NBC #youlose #sorrynotsorry,Donald Trump,AGAINST,Trump
"Donald Trump gets the boot from #NBC for calling immigrants rapists and murderers. Hey Donnie, where's your wife from again?",Donald Trump,AGAINST,Trump
Donald Trump needs to stop embarrassing himself. Racist assholes....,Donald Trump,AGAINST,Trump
"@MarioLopezExtra @nbc fires Trump, but maintains strong ties with @BWilliams @TheRevAl #LAUGHABLE #JOKE #LIARS #NBC GO",Donald Trump,FAVOR,Trump
Hey @MayorGregor thanks for letting a racist bigot build a giant tower with his name on it downtown. Real proud of ya.,Donald Trump,AGAINST,Trump
@RoughHouse_Ent Who the hell wants to watch this without,Donald Trump,NONE,Trump
"@realDonaldTrump I am sorry Mexico sends people like Dylan Roof, Mitchelle Blair and David Sweat to the USA. #enemywithin",Donald Trump,AGAINST,Trump
"Donald Trump is in dire need of a crisis communicator. PR folks, please give him your two cents. #SorryNotSorry",Donald Trump,AGAINST,Trump
Donald Trump is the man lets get this man in the White House!!!,Donald Trump,FAVOR,Trump
@RealJamesWoods @LoriBlaney My parents warned me to stay away from anyone offering free candy. NOTHING is ever free.,Donald Trump,NONE,Trump
i want donald trump to win the presidency so bad. he cant be bought out like all the others. and he sticks to his convictions,Donald Trump,FAVOR,Trump
"Holy shit ,the @realDonaldTrump is one looney mother fucker.  He'll never make it to the first debate #sideshow",Donald Trump,AGAINST,Trump
I write separately to call attention to this Court's threat to American democracy - #ObergefellvHodges #AmericaIsScrewed,Donald Trump,NONE,Trump
I believe this September's blood moon portends a cataclysmic event. #Christians,Donald Trump,NONE,Trump
More people should pay attention to the Greek situation cuz it's the first dominoe to fall #Grexit #tcot,Donald Trump,NONE,Trump
". @SenatorKitchen @nbc how deeply offensive such comments are not only to Mexican-Americans, but Latino Americans in general.",Donald Trump,AGAINST,Trump
Mr. @realDonaldTrump   I appreciate you standing your ground as you've done.  I can say I've never felt better about voting.,Donald Trump,FAVOR,Trump
The California draught is a myth created by the government. The point was to conserve water for use in the war against ISIS.,Donald Trump,NONE,Trump
@GinnyQuaglia well the rest of the majority had better get off their asses and get involved in this fight.,Donald Trump,NONE,Trump
@realDonaldTrump Really? The perfect definition of ignorance... The perfect example of someone who does not know reality...,Donald Trump,AGAINST,Trump
"I'm sure the white Euro people who moved to America when the land belonged to Native Americans were not good people either,",Donald Trump,AGAINST,Trump
@POTUS The whole light thing with the people's house was disgraceful.,Donald Trump,NONE,Trump
He doesn't care & would have to give up TV gigs anyway to run... loves attention & controversy,Donald Trump,AGAINST,Trump
"July 4th occurs on Ramadan. Since 911, this is most concern I've seen FBI, Homeland Security and the Police'- Rep Peter King",Donald Trump,NONE,Trump
"Do Gay people understand that if #ShariaLaw comes, those Marriage Licenses target them for death? - Dr. Samm   #LovesWins",Donald Trump,NONE,Trump
"After a major stroke, 4 years later I'm still waiting. 15 mil are getting  free what I work for my whole life.",Donald Trump,NONE,Trump
@realDonaldTrump what NBC actually stands for....Nothing But Crap. #BoycottNBC,Donald Trump,FAVOR,Trump
@NBCUniversal maybe you could have a reality show trying to find a new host of celebrity apprentice #YoureFired,Donald Trump,AGAINST,Trump
"@foxnation read my lips , "" I am Nuts "" get out of people's personal life.",Donald Trump,NONE,Trump
IF Trump could build the WALL it would provide jobs & also B a tourist attraction & pay 4 itself LEGALS arent the ones offended!,Donald Trump,FAVOR,Trump
"@MikeBates @BI_RetailNews Sickening, Children are at the Parades! BHO has turn this Country tolongest 6.6yrs of my Life!",Donald Trump,NONE,Trump
@realDonaldTrump You're FIRED! Now get out of here! Go!,Donald Trump,AGAINST,Trump
@HarisSTR Howz greece heard u like to anal pound didnt think u were like that,Donald Trump,NONE,Trump
Donald Trump is gonna end up like Hitler,Donald Trump,AGAINST,Trump
"@realDonaldTrump just so you know White people have more of a ""Rapist"" title, than Hispanics. #NotBeingRasist #DoResearch",Donald Trump,AGAINST,Trump
@ChristieC733  YES DONALD U R 100% CORRECT' as long as u stay the coruse and don't pander to GOP U GOT MY VOTE,Donald Trump,FAVOR,Trump
"That 5-mile run yesterday? Yeah, we're feeling it this morning. #FeelTheBern #MoreCleverHashtags",Donald Trump,NONE,Trump
America: Isn't it time we ignored Donald Trump? He's not a serious person. @NYPD should revoke his gun permit. #Immigration #NBC,Donald Trump,AGAINST,Trump
what is it with the pple who enjoy harassing me by writing captions on my photographs @Lrihendry? #scientology    #hurtful,Donald Trump,NONE,Trump
These noodles on my head are so hard to comb!,Donald Trump,AGAINST,Trump
"@realDonaldTrump is not a pilitical puppet. Maybe a piata, but definitely not a puppet.",Donald Trump,AGAINST,Trump
Donald Trump is Biff in the alternate universe 1985 in Back to the Future 2.   #biff #BackToTheFuture,Donald Trump,AGAINST,Trump
Tuesday AM #TrumpDump on horizon. I can see Chris Christie being victim. NBC for sure. Anyone else? #TellingItLikeItIs,Donald Trump,AGAINST,Trump
@kupajo33 @ChrisChristie we don't need him!,Donald Trump,AGAINST,Trump
"Without mexicans illegal or legal US shuts down,Your people will never be able to keep up with our hard workers. #WeAreMexico",Donald Trump,AGAINST,Trump
Not an American but I'll def be following the circus of the 2016 presidential running unfold. #Christie2016,Donald Trump,AGAINST,Trump
"Notice @realDonaldTrump not saying anything on #CarlosSlim . Not so rich or tough now, huh? Yeah, forgot he's #Mexican huh",Donald Trump,AGAINST,Trump
Hutch_USA Follow ===> sarah_brannick <===  if you want to #FreeAmir #FreeAmirNow  #PJNET,Donald Trump,AGAINST,Trump
Freedom of speech? Yeah right. You are only allowed to say what you want if it lines up with the liberal agenda. Wake up people,Donald Trump,AGAINST,Trump
"@mdsbarry ILLEGAL ALIENS come to US collect welfare and social security, its time to #MakeAmericaGreatAgain SECURE OUR BORDERS",Donald Trump,AGAINST,Trump
If you think it's fine American car companies send jobs to Mexico while we pay for their welfare you must hate @realDonaldTrump,Donald Trump,AGAINST,Trump
@Dahat8 @Stonewall_77 The HATE within America is stronger NOW than I remember since 1969? Can't go backwards to such division,Donald Trump,AGAINST,Trump
Think u can say anything without repercussion? Ask Mel Gibson how that's working out for him u racist elitist piece of shit!,Donald Trump,AGAINST,Trump
#BREAKING: Greece is now in arrears to the International Monetary Fund on a payment of almost 1.6 billion | Coming To America,Donald Trump,AGAINST,Trump
It's funny when politics seem like farce. Not so funny when politics becomes farce.,Donald Trump,AGAINST,Trump
@QuiltingMuriel But I do agree about the excess speechifying and posturing and general nonsense. Hello,Donald Trump,AGAINST,Trump
OMG! .@KirstenPowers Practically states Whites are more racist than Blacks because Whites are oppressing Blacks. WHERE? WTF?,Donald Trump,AGAINST,Trump
What's @realDonaldTrump wife's Twitter handle? I need to ask her if his balls are made of brass...I'm certain they are.   #NoHomo,Donald Trump,AGAINST,Trump
#KellyFile remember the days when we believed #SCOTUS would follow the #constitution well they gone,Donald Trump,AGAINST,Trump
@ChrisleyChase think your adorable. Remind me of my nephew. Stay young. The new comb over you're sporting is aging you.,Donald Trump,AGAINST,Trump
Miss USA host De la Fuente quits pageant and call @realDonaldTrump ignorant and a clown...,Donald Trump,AGAINST,Trump
"@CNNPolitics @CNN if you spent as much time covering Bernie Sanders as you do Trump, Sanders would be ahead in every poll.",Donald Trump,AGAINST,Trump
Remember that story about a charismatic businessman who will lie to get into power from an obscure position? #Revelation,Donald Trump,AGAINST,Trump
"@realDonaldTrump suing Univision & NBC because they cut you off. UGH great political move, because we need a greedy President!",Donald Trump,AGAINST,Trump
Cancel your Netflix subscription and donate to @realDonaldTrump's campaign for entertainment #Trump,Donald Trump,AGAINST,Trump
"Me: ""That asshole with the toupee was talking again and it was stressing me out""  Dad: ""Who?""  Mom: ""Donald Trump",Donald Trump,AGAINST,Trump
"Donald Trump....you're fired, fired, & fired again!",Donald Trump,AGAINST,Trump
@divadoll123 @LANURSE1 @ShaninZT u can't go back.Only way people r going to wake up is when the free checks stop coming!#TCOT,Donald Trump,AGAINST,Trump
Just watched @realDonaldTrump speech. How embarrassing for his family! Like that's a really bad dad moment,Donald Trump,AGAINST,Trump
@johnkerry @statedept Nude pic of you and Brian Williams on your desk!  MY EYES MY EYES,Donald Trump,AGAINST,Trump
"Gotta love everyone disliking @realDonaldTrump because he actually makes sense, and may even bring the country back to normal",Donald Trump,AGAINST,Trump
"John O'Donnell, former president of Trump Plaza Hotel & Casino ... @realDonaldTrump said ""laziness is a trait in blacks.",Donald Trump,AGAINST,Trump
I feel dumb that I am so broke and Donald Trump is a billionaire.,Donald Trump,AGAINST,Trump
"There is still more to be done to make this country strong, powerful and great again. #TrumpCarson2016",Donald Trump,AGAINST,Trump
@Crypt1cality @ChrisCuomo Illegal aliens are destroying America and raping our women!,Donald Trump,AGAINST,Trump
"The #Obama Presidency: Has There Ever a Point in Time When He HASN'T Been Lying to #WeThePeople? RE: The ""Liar-in-Chief",Donald Trump,AGAINST,Trump
I just cancelled my reservation at the Trump hotel in Las Vegas.  I hope like minded people intolerant of bigots do the same,Donald Trump,AGAINST,Trump
Why are free market conservatives behind a multiple bankruptcy candidate who wears makeup. Gives us real conservatives a bad name,Donald Trump,AGAINST,Trump
"@mmfa water seeks its own level. In the case of @realDonaldTrump and @oreillyfactor, it's sewer water. #FoxNews #Trump",Donald Trump,AGAINST,Trump
@realDonaldTrump I know you are the best candidate. You are the only one who can #MakeAmericaGreatAgain #RestoreOurRepublic,Donald Trump,AGAINST,Trump
"of the many @realDonaldTrump racist comments, this one takes the prize!  ""Laziness is a trait in blacks.""",Donald Trump,AGAINST,Trump
It's not a good week for,Donald Trump,AGAINST,Trump
"RT @BlissTabitha ""Never quite works out that way huh?  #GlobalWarming HOAX #MediaMalpractice",Donald Trump,AGAINST,Trump
Left-wing media trying to silence @realDonaldTrump? HAHAHA  Keep trying! Trump is NOT a career politician & he won't be bought!,Donald Trump,AGAINST,Trump
"#macys ""We have no tolerance for discrimination in any form,"" I thought the left preached tolerance. Not discrimination but truth",Donald Trump,AGAINST,Trump
Macy's to stop selling Trump merch. I guess he'll sue them next.,Donald Trump,AGAINST,Trump
Only good thing about Trump's presidential run is that by the end of it he will be a billion or 2 short,Donald Trump,AGAINST,Trump
I love how everyone thinks canceling @realDonaldTrump's ventures will do anything but hurt themselves. This man has my vote!,Donald Trump,AGAINST,Trump
Comments by @realDonaldTrump were hateful & disgusting. Everyone should sever their ties with him. Thanks @Macys @Univision @nbc,Donald Trump,AGAINST,Trump
@people @KimKardashian I dont even have to read this 2 know who she would want 4 the next president. #Killary,Donald Trump,AGAINST,Trump
@gbennettpost @jamiedupree No  #asstards!  America is dumping you! Trump's gonna put your dicks in the dirt!,Donald Trump,AGAINST,Trump
@Lrihendry your just as ignorant as,Donald Trump,AGAINST,Trump
Thank you @Macys! You are and will continue to be my favorite store! Bye bye #DoucheBag,Donald Trump,AGAINST,Trump
hey @Macys a whole bunch of us are going to sever ties with you.   #Macys,Donald Trump,AGAINST,Trump
So I'm guessing there won't be a #SlovenianFirstLady in #TheWhiteHouse!,Donald Trump,AGAINST,Trump
@Ehsan_Kassim It's time we make the Housewares department great again,Donald Trump,AGAINST,Trump
"@JudgeMbro Thank you for RT and FAV, judge!!! #USA #OhHillNo #Cuba #TodosMarchamos #Venezuela",Donald Trump,AGAINST,Trump
"@realDonaldTrump U gonna take this? I hope not! Bullshit from #Univision #NBCUniversal and #Macys. ""Magic of Macy's"" my ass",Donald Trump,AGAINST,Trump
"We get all the bad #Mexicans...minus the ones whose labor built your empire, of course. #TrumpedFacts #Delusional #GTFOH",Donald Trump,AGAINST,Trump
Did anyone cut ties with Senator Lindsey Graham when he called all Iranians liars? NO.,Donald Trump,AGAINST,Trump
"I would vote for @realDonaldTrump if he had a hilariously oversized head, I'm talking 2x size of his body",Donald Trump,AGAINST,Trump
DID YOU KNOW that the U.S Constitution is now under full pledge attack by the Obama tyrant administration? #WethePeople,Donald Trump,AGAINST,Trump
The more I read how NBC and Macy's are cutting ties with @realDonaldTrump the more I'm convinced he should be president.,Donald Trump,AGAINST,Trump
"Following his recent comments about immigrants, do you think Donald Trump's business interests will suffer? #Trump",Donald Trump,AGAINST,Trump
@TPM @realDonaldTrump this is what happens when you open your big mouth. You're out of luck for 2016 at this rate. #Univision,Donald Trump,AGAINST,Trump
Hey at @realDonaldTrump I'll vote for you if you adopt me!,Donald Trump,AGAINST,Trump
Fuck Macy's. Fuck your July 4th Fireworks. Fuck your Thanksgiving Parade. Fuck NBC. Fuck Univision. Fuck Mexico. Fuck all of you.,Donald Trump,AGAINST,Trump
And this dude wants to be potus #FOH,Donald Trump,AGAINST,Trump
I hope every Billionaire learned their lesson bout talking sh%t about Mexicans!  Do it in your golf clubs NOT on TV!,Donald Trump,AGAINST,Trump
@realDonaldTrump Canada supports you! Please stop the ILLEGALS at your boarder before they get to ours.,Donald Trump,AGAINST,Trump
"Goodbye Macy's, nbc,univision. Illegals are raping&murdering thx to Obama. Trump is right.",Donald Trump,AGAINST,Trump
"@WashTimes @billpostmus #CONGRESS approve this already! Let President veto, then overturn his veto.",Donald Trump,AGAINST,Trump
@hamltonb026 that's the last thing I'm doing. I'm suggesting that liberals are the reason it is the issue it is today,Donald Trump,AGAINST,Trump
#ProgressiveCommandment:Criminals need short sentences & cushy jails in order to rehabilitate them!#tcot @ericbolling #Greta,Donald Trump,AGAINST,Trump
Trump got the smarts to win the hearts,Donald Trump,AGAINST,Trump
It's truly amazing just how many people Donald Trump is making complete & utter fools of. Gotta love it :) #MurderersAndRapists,Donald Trump,AGAINST,Trump
"OBAMA LISTENING TO RAP ""MUSIC"" IN THE WHITE HOUSE IS A DISGRACE. YOU CAN'T SPELL CRAP WITHOUT RAP. #tcot #NoBama",Donald Trump,AGAINST,Trump
"crazy-speak & how often/many times it's repeated are NOT mutually exclusive; c'mon chris; don't YOU be lazy, too...  @chrislhayes",Donald Trump,AGAINST,Trump
@TPM Forget #AnnCoulter. Faux's #Hannity & #KellyFile have an endless supply of ignorant #GOP summer interns. #RWNJ #tcot,Donald Trump,AGAINST,Trump
@JoeHNewYork @maggiebeauchamp @DLoesch This country is upside down..,Donald Trump,AGAINST,Trump
"@PoliticalLaughs Meanwhile, derelicts, deviants, and bedlam thrive under Obama.",Donald Trump,AGAINST,Trump
#FELLOW TEXANS WHO SHOP FIRE @MACY'S AND SHOP #DILLARD'S!,Donald Trump,AGAINST,Trump
Radical Islam is still a threat to the Western World!!!! #awareness #PATRIOT #UnitedWeStand,Donald Trump,AGAINST,Trump
"Well, someone's doing the raping. I get combed and gooped up so much, Donald's the one doing the raping. He never understands.",Donald Trump,AGAINST,Trump
"Just so its not lost, today ISIS executed 74 children. To make it worse, our President was tweeting about basketball.",Donald Trump,AGAINST,Trump
"I wrote 'The Art of the Deal,' the number one best selling business book of all time, at least I think",Donald Trump,AGAINST,Trump
"Finally a highly intelligent, economically competent contender for The President. TRUMP #Trump #realdonaldtrump",Donald Trump,AGAINST,Trump
I'm voting for Donald Trump !,Donald Trump,AGAINST,Trump
We need someine to bring this country back to life! @realDonaldTrump resuscitate America!,Donald Trump,AGAINST,Trump
"@realDonaldTrump Is the only one that says the truth straight up. No spin, and he constantly stands up for what he believes!",Donald Trump,AGAINST,Trump
"Spine, I would like for you to meet the Republican Party.",Donald Trump,AGAINST,Trump
Jeb Bush Why Don't U Stand Up For Yr Mexican Family & Denounce Trump. Have You No Pride or Balls?  #DumpTrump #BoycottTrump,Donald Trump,AGAINST,Trump
@kesgardner @MikeHansen613  WTF?????? The true face of #Racism & it is UGLY both inside & out,Donald Trump,AGAINST,Trump
@CNNPolitics @Eugene_Scott  Careful Donald. Don't get carried away.,Donald Trump,AGAINST,Trump
"Trump, the best thing to happen to the Republican Party or should I say the Democratic Party. #keeptalking",Donald Trump,AGAINST,Trump
RT brutaltruth2682: Radical Islam is still a threat to the Western World!!!! #awareness #PATRIOT #UnitedWeStand,Donald Trump,AGAINST,Trump
delusional - adjective  1. having false or unrealistic beliefs or opinions 2. Donald Trump  #presidentialelection2016,Donald Trump,AGAINST,Trump
ENOUGH. 4FAR 2LONG  2% of pop. has dictated 2the 98% due 2fear by PCpolice/afraid 2b called a bigot/racist. NO MORE!  #ccot,Donald Trump,AGAINST,Trump
Maybe if more patriots raised a fuss and did what the gays and other minority groups do we'd get this country back,Donald Trump,AGAINST,Trump
@Macys not selling Trump because he voices his opinion.. What happy to freedom of speech.. I'll never shop at @Macys again..,Donald Trump,AGAINST,Trump
Honestly though @Macys you dumped Trump so now I'm dumping you. And I shop at your store A LOT. NOT ANYMORE BYE,Donald Trump,AGAINST,Trump
a clown who wants to be president #youcantdoit #MexicansAreChidos,Donald Trump,AGAINST,Trump
If @Macys wants to try to stall this country's progress that's their prerogative but I'm done shopping there #BadBusiness,Donald Trump,AGAINST,Trump
@TIMENOUT @TIB2016 @AlanColmes is a prime example of a #LobotomizedLiberal.,Donald Trump,AGAINST,Trump
@realDonaldTrump You go get em Donald!  The real folks are with you 110%,Donald Trump,AGAINST,Trump
