source_row,source_date,source_country,text,gt_attack_type
2446,2017-03-19,Yemen,"03/19/2017: Assailants attacked military forces in Al-Buq, Saada, Yemen. At least 20 assailants were killed in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Houthi extremists.",Unknown
2447,2017-03-19,Philippines,"03/19/2017: An assailant shot and killed a Citizens Armed Forces Geographical Unit (CAFGU) member and a civilian in Santa Clara, Batangas, Philippines. No group claimed responsibility for the incident.",Armed Assault
2448,2017-03-19,Mexico,"03/19/2017: Assailants shot and killed Ricardo Monlui, a journalist, in Yanga, Veracruz, Mexico. No group claimed responsibility for the incident.",Assassination
2449,2017-03-19,Syria,"03/19/2017: A suicide bomber in an explosives-laden vehicle detonated in Jobar neighborhood, Damascus, Syria. Following the blast, assailants armed with projectiles and firearms then attacked the area. This was one of two coordinated incidents in Jobar on the same day. At least 20 people were killed across both attacks. Hay'at Tahrir al-Sham and Al-Rahman Corps of the Free Syrian Army separately claimed responsibility for the incidents.",Bombing/Explosion
2451,2017-03-19,Egypt,"03/19/2017: Assailants attacked a military checkpoint near Arish, North Sinai, Egypt. At least two soldiers were killed and three soldiers were injured in the assault. No group claimed responsibility for the incident.",Unknown
2452,2017-03-19,Philippines,"03/19/2017: An explosive device detonated in Dugaa, Basilan, Philippines. A farmer was killed in the blast. No group claimed responsibility for the incident; however, sources suspected that the Abu Sayyaf Group (ASG) may have planted the device to target military personnel.",Bombing/Explosion
2453,2017-03-19,Iraq,"03/19/2017: An explosive device detonated targeting a military patrol in Akarkouf, Baghdad, Iraq. At least one soldier was killed and two soldiers were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
2454,2017-03-19,India,"03/19/2017: Assailants abducted Charku Yadav from his residence in Jori, Jharkhand, India. An unknown number of Yadav's family members were injured in the attack, and Yadav was killed shortly after the kidnapping. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and accused Yadav of being an informant for Jharkhand Jan Mukti Parishad and the police. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and accused Charku Yadav of being an informant for Jharkhand Jan Mukti Parishad and the police.",Hostage Taking (Kidnapping)
2455,2017-03-19,Afghanistan,"03/19/2017: Assailants abducted three civilians from Dehak, Farah, Afghanistan. The outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, sources attributed the abduction to the Taliban.",Hostage Taking (Kidnapping)
2456,2017-03-18,Pakistan,"03/18/2017: Assailants abducted a Khassadars member in Jamrud subdistrict, Federally Administered Tribal Areas, Pakistan. The hostage was killed and his body was discovered the following day, on March 19, 2017. No group claimed responsibility for the attack.",Hostage Taking (Kidnapping)
2457,2017-03-19,Iran,"03/19/2017: Assailants attacked an Iranian Revolutionary Guards Corps (IRGC) headquarters in Marivan, Kordestan, Iran. Two IRGC were killed and one officer was injured in the assault. The Zagros Eagles claimed responsibility for the incident.",Unknown
2458,2017-03-19,Yemen,"03/19/2017: Assailants attacked a Hadrami Elite Forces camp in Adh Dhliaah district, Hadramawt, Yemen. In addition to an unknown number of assailant casualties, at least one militia member was injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP).",Unknown
2459,2017-03-19,Afghanistan,"03/19/2017: A roadside bomb detonated targeting military personnel in Shahjoy, Zabul, Afghanistan. At least two soldiers were killed and three soldiers were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
2460,2017-03-20,Philippines,"03/20/2017: Assailants opened fire on a military detachment in Quezon, Bukidnon, Philippines. There were no reported casualties. No group claimed responsibility for the incident; however, sources attributed the attack to the New People's Army (NPA).",Armed Assault
2461,2017-03-20,Philippines,"03/20/2017: Assailants set fire to equipment at a pineapple plantation in Patpat, Bukidnon, Philippines. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the New People's Army (NPA). The specific motive is unknown; however, sources suspected that the attack was intended to divert the military's attention from its operations.",Facility/Infrastructure Attack
2462,2017-03-20,Philippines,"03/20/2017: Assailants opened fire on a military detachment in Gingoog, Misamis Oriental, Philippines. There were no reported casualties. This was one of two attacks targeting military forces in Misamis Oriental on this date. No group claimed responsibility for the incidents; however, sources attributed the attacks to the New People's Army (NPA).",Armed Assault
2463,2017-03-20,Philippines,"03/20/2017: Assailants opened fire on a military detachment in Balingasag, Misamis Oriental, Philippines. There were no reported casualties. This was one of two attacks targeting military forces in Misamis Oriental on this date. No group claimed responsibility for the incidents; however, sources attributed the attacks to the New People's Army (NPA).",Armed Assault
2464,2017-03-19,Afghanistan,"03/19/2017: Assailants attacked a police post in Urgun, Paktika, Afghanistan. At least two assailants and two police officers were killed while two assailants and two police officers were injured in the ensuing clash. The Taliban claimed responsibility for the incident.",Unknown
2465,2017-03-20,Somalia,"03/20/2017: Assailants publicly executed Osman Dini Ali, a traditional elder, in Awdheegle, Lower Shebelle, Somalia. Al-Shabaab claimed responsibility for the incident and stated that the victim was killed for participating in Somalia's parliamentary election in December 2016. Al-Shabaab claimed responsibility for the incident and stated that Osman Dini was killed because he participated in Somalia's parliamentary election, which took place in December 2016.",Assassination
2466,2017-03-20,Somalia,"03/20/2017: Assailants opened fire on the Ministry of Defense headquarters in Mogadishu, Somalia. In addition to an unknown number of assailant casualties, at least two people were injured in the ensuing clash with security forces. Al-Shabaab claimed responsibility for the incident.",Armed Assault
2467,2017-03-20,Iraq,"03/20/2017: An explosives-laden vehicle detonated at a market in Amil neighborhood, Baghdad, Iraq. At least 27 people were killed and 45 people were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident.",Bombing/Explosion
2468,2017-03-19,Iraq,"03/19/2017: Assailants, including suicide bombers, raided Risalah neighborhood in Mosul, Nineveh, Iraq. This was one of two coordinated attacks in the area on the same day. At least 17 assailants were killed as security forces repelled both assaults. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents.",Bombing/Explosion
2469,2017-03-19,Iraq,"03/19/2017: Assailants, including suicide bombers, raided Nabulus neighborhood in Mosul, Nineveh, Iraq. This was one of two coordinated attacks in the area on the same day. At least 17 assailants were killed as security forces repelled both assaults. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents.",Bombing/Explosion
2470,2017-03-20,Burkina Faso,"03/20/2017: Assailants opened fire on a military detachment near Nassoumbou, Sahel, Burkina Faso. At least one soldier was injured in the attack. No group claimed responsibility for the incident.",Armed Assault
2471,2017-03-20,Egypt,"03/20/2017: An explosive device detonated targeting a civilian vehicle in North Sinai governorate, Egypt. Three people were killed and two people were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
2472,2017-03-20,Egypt,"03/20/2017: An explosive device detonated targeting a police vehicle in Arish, North Sinai, Egypt. At least nine people, including police officers and civilians, were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Sinai Province of the Islamic State.",Bombing/Explosion
2473,2017-03-20,Greece,"03/20/2017: Eight explosives-laden packages were discovered and defused at a postal sorting center in Kryoneri, Attica, Greece. The packages were intended to target prominent European economic officials. No group claimed responsibility for the incident; however, sources attributed the attempted attack to the Conspiracy of Cells of Fire. In addition, sources suspected the involvement of the Revolutionary Struggle.",Assassination
2474,2017-03-20,Somalia,"03/20/2017: Assailants opened fire on a Somali National Army (SNA) base near Daynunay, Bay, Somalia. At least seven assailants and an unknown number of soldiers were killed in the ensuing clash. Al-Shabaab claimed responsibility for the attack.",Armed Assault
2475,2017-03-20,Nigeria,"03/20/2017: Assailants opened fire at a market in Zaki Biam, Benue, Nigeria. At least 73 people were killed, an unknown number of people were injured, and several houses were set on fire during the assault. No group claimed responsibility for the incident; however, residents attributed the attack to Fulani extremists, which police officials denied.",Armed Assault
2476,2017-03-20,Philippines,"03/20/2017: Four assailants shot and killed Arman Matutina, a former New People's Army (NPA) member, in Buenavista, Negros Occidental, Philippines. The New People's Army (NPA) claimed responsibility for the incident and accused Matutina of working with politicians and sabotaging agriculture reform. The New People's Army (NPA) claimed responsibility for the incident and accused Arman Matutina of working with politicians and sabotaging agriculture reform. Sources also noted that Matutina was a former member of the NPA.",Armed Assault
2477,2017-03-20,Philippines,"03/20/2017: Assailants opened fire on Philippine Marine Corps (PMC) personnel in Hinalaan, Sultan Kudarat, Philippines. At least six assailants and one soldier were killed and 11 assailants and eight soldiers were injured in the ensuing clash. The New People's Army (NPA) claimed responsibility for the incident. The New People's Army (NPA) claimed responsibility for the incident and stated that the attack was carried out in response to the military allowing David Consunji, the owner of David M. Consunji, Inc., to engage in acquiring land illegally.",Armed Assault
2478,2017-03-20,Afghanistan,"03/20/2017: Assailants attacked a police patrol in Kandaharian, Takhar, Afghanistan. An unknown number of assailants were killed and the district director of the National Security Department and his bodyguard were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",Armed Assault
2479,2017-03-20,Yemen,"03/20/2017: Assailants attacked military positions in Seyar, Taizz, Yemen. This was one of two related attacks in the area on this date. At least 11 assailants and three soldiers were killed in the ensuing clashes. No group claimed responsibility; however, sources attributed the incidents to Houthi extremists.",Unknown
2481,2017-03-20,Yemen,"03/20/2017: Assailants fired a missile targeting Jazan, Saudi Arabia, from an unknown location in Yemen. There were no reported casualties as the missile was intercepted by coalition air defense forces. No group claimed responsibility for the incident; however, sources attributed the attack to Houthi extremists.",Bombing/Explosion
2482,2017-03-20,Pakistan,"03/20/2017: Assailants fired a rocket at a tube well in Tarkho, Mamond subdistrict, Federally Administered Tribal Areas, Pakistan. There were no reported casualties in the blast. No group claimed responsibility for the attack.",Bombing/Explosion
2483,2017-03-20,Iraq,"03/20/2017: An explosive device detonated near a market in Taji, Saladin, Iraq. At least one person was killed and four people were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
2484,2017-03-20,Iraq,"03/20/2017: An explosive device planted under a civilian vehicle detonated in Furat neighborhood, Baghdad, Iraq. The owner of the vehicle was killed and a passenger was injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
2485,2017-03-20,Iraq,"03/20/2017: Security forces identified and killed a suicide bomber in Husseiniyah, Diyala, Iraq. No group claimed responsibility for the attack.",Bombing/Explosion
2486,2017-03-20,Iraq,"03/20/2017: Assailants abducted and killed six police officers in Bab al-Jadid neighborhood, Mosul, Nineveh, Iraq. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack.",Hostage Taking (Kidnapping)
2487,2017-03-20,Iraq,"03/20/2017: An explosive device detonated targeting families fleeing the area in western Mosul, Nineveh, Iraq. At least five people were killed and 15 people were injured in the blast. No group claimed responsibility for the incident. The specific motive is unknown; however, sources noted that the victims were attempting to leave the area at the time of the attack.",Bombing/Explosion
2488,2017-03-20,Central African Republic,"03/20/2017: Assailants abducted 25 people in Djemah district, Haut-Mbomou, Central African Republic. The outcome of the kidnapping is unknown. No group claimed responsibility; however, sources attributed the attack to the Lord's Resistance Army (LRA).",Hostage Taking (Kidnapping)
2489,2017-03-20,Egypt,"03/20/2017: Assailants detonated explosive devices at a residential building in Arish, North Sinai, Egypt. There were no reported casualties, though the building was destroyed in the blasts. No group claimed responsibility for the incident; however, sources attributed the attack to the Sinai Province of the Islamic State. The specific motive is unknown; however, sources stated that the attack was carried out in retaliation for the military utilizing the building to target armed group members.",Bombing/Explosion
2490,2017-03-20,West Bank and Gaza Strip,"03/20/2017: Two assailants threw an explosive device at Israeli Border Police personnel near Jalame, West Bank. There were no reported casualties as the device failed to detonate. No group claimed responsibility for the incident.",Bombing/Explosion
2491,2017-03-20,India,"03/20/2017: Assailants stabbed and killed Muhammad Riyaz, a madrassa teacher, at a mosque in Choori, Kerala, India. No group claimed responsibility for the incident.",Armed Assault
2492,2017-03-20,United States,"03/20/2017: An assailant stabbed Timothy Caughman with a sword in Chelsea neighborhood, New York City, United States. Caughman, an African-American civilian, was killed in the attack. James Harris Jackson, a white extremist, claimed responsibility for the incident and stated that he targeted Caughman in order to persuade white women against interracial relationships. James Harris Jackson, a white extremist, claimed responsibility for the incident and stated that he targeted Caughman in order to persuade white women against interracial relationships.",Armed Assault
2493,2017-03-20,Iraq,"03/20/2017: An explosive device detonated near shops in Radhwaniyah, Abu Ghraib, Al Anbar, Iraq. At least three people were injured in the blast. No group claimed responsibility for the attack.",Bombing/Explosion
2494,2017-03-21,Philippines,"03/21/2017: Assailants attacked a military base in Comota, Agusan del Sur, Philippines. One assailant was killed in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the New People's Army (NPA).",Unknown
2495,2017-03-20,Afghanistan,"03/20/2017: A suicide bomber detonated an explosives-laden vehicle at a National Directorate of Security (NDS) base in Gereshk, Helmand, Afghanistan. In addition to the assailant, at least six NDS members were killed and seven members were wounded in the blast. The Taliban claimed responsibility for the incident.",Bombing/Explosion
2496,2017-03-20,Somalia,"03/20/2017: Assailants shot and killed Muheydin Amadi, a clan elder and electoral delegate, in Yaqshid neighborhood, Mogadishu, Somalia. Jabha East Africa claimed responsibility for the incident; however, sources also attributed the attack to Al-Shabaab. The specific motive is unknown; however, sources noted that Muheydin Amadi was an electoral delegate who elected members of Somalia's Federal Parliament.",Assassination
2497,2017-03-21,Somalia,"03/21/2017: A suicide bomber detonated an explosives-laden vehicle at a military checkpoint in Xamar Weyne neighborhood, Mogadishu, Somalia. In addition to the assailant, at least seven people were killed and 11 people were injured in the blast; the victims included soldiers and civilians. Al-Shabaab claimed responsibility for the attack. The specific motive is unknown; however, sources noted that the attack occurred after Somali Prime Minister Hassan Ali Khayre announced his Cabinet.",Bombing/Explosion
2498,2017-03-21,Iraq,"03/21/2017: Security forces identified and killed a suicide bomber driving an explosives-laden vehicle in Maawsil al-Jadidah neighborhood, Mosul, Nineveh, Iraq. The vehicle detonated, killing or injuring at least 30 people. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",Bombing/Explosion
2499,2017-03-21,Iraq,"03/21/2017: Assailants fired mortars at a civilian residence in Maawsil al-Jadidah neighborhood, Mosul, Nineveh, Iraq. At least six people were killed and 15 people were injured in the attack. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident.",Bombing/Explosion
2500,2017-03-21,Iraq,"03/21/2017: An explosive device detonated targeting families fleeing the area in Hawijah district, Kirkuk, Iraq. At least five people were killed and four people were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL). The specific motive is unknown; however, sources stated that the victims were attempting to leave areas controlled by the Islamic State of Iraq and the Levant (ISIL) at the time of the attack.",Bombing/Explosion
2501,2017-03-20,Afghanistan,"03/20/2017: An explosive device detonated and assailants opened fire targeting a military vehicle in Wardak, Afghanistan. Five assailants and three soldiers were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",Bombing/Explosion
2502,2017-03-21,United Kingdom,"03/21/2017: An explosive device detonated targeting a police patrol in Strabane, Northern Ireland, United Kingdom. There were no reported casualties in the blast. The New Irish Republican Army claimed responsibility for the attack.",Bombing/Explosion
2503,2017-03-21,Pakistan,"03/21/2017: Assailants opened fire on Pakistan Bureau of Statistics census workers in Mandani, Khyber Pakhtunkhwa, Pakistan. At least one assailant was killed and a Pakistani Police officer guarding the census workers was injured in the assault. No group claimed responsibility for the attack.",Armed Assault
2504,2017-03-21,Turkey,"03/21/2017: An assailant armed with a knife attacked police personnel outside a Newroz festival in Diyarbakir, Turkey. Police shot and killed the assailant, who also claimed to be carrying an explosive device in his bag. No group claimed responsibility for the incident. The specific motive is unknown; however, sources noted that the incident occurred during Newroz, a Kurdish New Year festival.",Armed Assault
2505,2017-03-20,Bangladesh,"03/20/2017: Assailants stabbed and injured a Sufi spiritual leader at a mosque in Paindong, Chittagong, Bangladesh. No group claimed responsibility for the incident.",Armed Assault
2506,2017-03-21,Yemen,"03/21/2017: Assailants opened fire on Fadl al-Jaadi's vehicle near Dali, Ad Dali, Yemen. Al-Jaadi, the Ad Dali governor, was unharmed, though two guards were injured in the attack. No group claimed responsibility for the incident.",Assassination
2507,2017-03-21,South Africa,"03/21/2017: Assailants attacked a Nigerian civilian in Moledji, Limpopo, South Africa. The civilian was injured and a house was damaged in the assault. This was one of three related attacks targeting Nigerian nationals in the area on the same day. No group claimed responsibility for the incidents. The specific motive is unknown; however, sources noted that the attack was xenophobic.",Facility/Infrastructure Attack
2510,2017-03-21,Syria,"03/21/2017: An explosives-laden vehicle detonated in Jobar neighborhood, Damascus, Syria. Following the blast, assailants armed with projectiles and firearms then attacked the area. There were an unknown number of casualties in the incident. This was one of three coordinated attacks in different Damascus neighborhoods on the same day. Al-Rahman Corps of the Free Syrian Army and Ahrar al-Sham separately claimed responsibility for the incident. Sources also attributed the attack to Hay'at Tahrir al-Sham.",Bombing/Explosion
2511,2017-03-21,Central African Republic,"03/21/2017: Assailants raided Agoudou Manga, Ouaka, Central African Republic. This was one of three related attacks targeting villages in Bambari district on this date. At least 50 people were killed and dozens were injured across the three assaults. No group claimed responsibility; however, sources attributed the incidents to the Union for Peace in Central Africa (UPC), which denied involvement and stated that the Popular Front for the Renaissance of the Central African Republic (FPRC) had carried out the attacks.",Armed Assault
2512,2017-03-21,Central African Republic,"03/21/2017: Assailants raided Yasseneme, Ouaka, Central African Republic. This was one of three related attacks targeting villages in Bambari district on this date. At least 50 people were killed and dozens were injured across the three assaults. No group claimed responsibility; however, sources attributed the incidents to the Union for Peace in Central Africa (UPC), which denied involvement and stated that the Popular Front for the Renaissance of the Central African Republic (FPRC) had carried out the attacks.",Armed Assault
2513,2017-03-21,Central African Republic,"03/21/2017: Assailants raided Ngouyanza, Ouaka, Central African Republic. This was one of three related attacks targeting villages in Bambari district on this date. At least 50 people were killed and dozens were injured across the three assaults. No group claimed responsibility; however, sources attributed the incidents to the Union for Peace in Central Africa (UPC), which denied involvement and stated that the Popular Front for the Renaissance of the Central African Republic (FPRC) had carried out the attacks.",Armed Assault
2514,2017-03-21,Syria,"03/21/2017: A suicide bomber detonated an explosives-laden vehicle at a Syrian Army checkpoint on a road leading to Suran, Hamah, Syria. Following the blast, additional assailants then attacked the area. Aside from the death of the assailant, There were an unknown number of casualties in the blast. This was one of three related incidents in Hamah and one of two suicide bombings in Soran on the same day. Hay'at Tahrir al-Sham claimed responsibility for the attacks.",Bombing/Explosion
2515,2017-03-21,Syria,"03/21/2017: A suicide bomber detonated an explosives-laden vehicle at the entrance to Suran, Hamah, Syria. Following the blast, additional assailants then attacked the area. Aside from the death of the assailant, There were an unknown number of casualties in the blast. This was one of three related incidents in Hamah and one of two suicide bombings in Soran on the same day. Hay'at Tahrir al-Sham claimed responsibility for the attacks.",Bombing/Explosion
2516,2017-03-21,Syria,"03/21/2017: Assailants attacked Syrian Armed Forces (SAF) soldiers in Mardes, Hamah, Syria. There were an unknown number of casualties in the ensuing clash. This was one of three related incidents in Hamah on the same day. Hay'at Tahrir al-Sham claimed responsibility for the attacks.",Unknown
2517,2017-03-21,Syria,"03/21/2017: Assailants fired projectiles that landed and detonated at Abbasid Square in Damascus city, Syria. This was one of three coordinated attacks in different Damascus neighborhoods on the same day. At least 12 people were injured across the two projectile incidents. Al-Rahman Corps of the Free Syrian Army claimed responsibility for the attack.",Bombing/Explosion
2518,2017-03-21,Syria,"03/21/2017: Assailants fired projectiles that landed and detonated in Tijara neighborhood, Damascus, Syria. This was one of three coordinated attacks in different Damascus neighborhoods on the same day. At least 12 people were injured across the two projectile incidents. Al-Rahman Corps of the Free Syrian Army claimed responsibility for the attack.",Bombing/Explosion
2519,2017-03-21,Iraq,"03/21/2017: An explosive device detonated while being defused in Adhamiyah neighborhood, Baghdad, Iraq. At least two security force members were killed and another member was injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
2520,2017-03-21,Iraq,"03/21/2017: An explosive device detonated near a blacksmith shop in Saba al-Bor, Saladin, Iraq. At least one person was killed and two people were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
2521,2017-03-21,Iraq,"03/21/2017: An explosive device detonated while being defused in Fallujah, Al Anbar, Iraq. Two soldiers were killed and one soldier was injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
2522,2017-03-21,Iraq,"03/21/2017: An explosive device detonated near a market in Rashdiya area, Baghdad, Iraq. At least two people were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
2523,2017-03-21,Iraq,"03/21/2017: Security forces identified and killed three suicide bombers targeting civilians in Maawsil al-Jadidah, Mosul, Nineveh, Iraq. No group claimed responsibility for the incident; however, sources attributed the attempted attack to the Islamic State of Iraq and the Levant (ISIL).",Bombing/Explosion
2524,2017-03-21,Yemen,"03/21/2017: Assailants attacked civilians and detonated explosive devices targeting five homes in Sawadiyah, Dhamar, Yemen. The outcome of the kidnapping is unknown. One former army officer was killed and an unknown number of civilians were abducted during the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Houthi extremists (Ansar Allah).",Hostage Taking (Kidnapping)
2525,2017-03-22,United Kingdom,"03/22/2017: An assailant drove a vehicle into pedestrians along the Westminster Bridge in London, England, United Kingdom. The assailant then fled the vehicle outside the Palace of Westminster, stabbing a police officer before being shot and killed by police forces. In addition to the assailant, five people were killed and at least 50 people were injured in the attack. Khalid Masood, a Muslim extremist, claimed responsibility for the incident and stated that the attack was carried out in retaliation for Western military offensives in the Middle East. The Islamic State of Iraq and the Levant (ISIL) also claimed responsibility for the incident; however, authorities doubted the veracity of this claim and could not confirm Masood's connection to ISIL. Khalid Masood, an unaffiliated individual, claimed responsibility for the incident and stated that the attack was carried out in retaliation for Western military offensives in the Middle East.",Armed Assault
2526,2017-03-22,Egypt,"03/22/2017: An explosive device detonated targeting a military vehicle near Arish, North Sinai, Egypt. This was one of two related attacks in the area on the same day. At least ten soldiers were killed across both blasts. The Sinai Province of the Islamic State claimed responsibility for the incidents. The specific motive is unknown; however, sources noted that the targeted military vehicles were carrying out operations.",Bombing/Explosion
2527,2017-03-22,Yemen,"03/22/2017: Assailants attacked military and popular resistance forces in Hamak, Ad Dali, Yemen. At least three assailants were killed and six others, including five assailants and a soldier, were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Houthi extremists (Ansar Allah).",Unknown
2528,2017-03-22,Yemen,"03/21/2017: An assailant threw a hand grenade at a market in Azzan, Shabwah, Yemen. One person was killed and at least 30 other people were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
2529,2017-03-22,Yemen,"03/22/2017: A sniper opened fire on civilians in residential neighborhoods east of Taizz, Yemen. One civilian was killed and another civilian was injured in the attack. This was one of four attacks in Taizz on this date. No group claimed responsibility for the incident; however, sources attributed the attack to Houthi extremists (Ansar Allah).",Armed Assault
2530,2017-03-22,Yemen,"03/22/2017: Assailants blew up a house in Ad Da'wah neighborhood, near Taizz, Taizz, Yemen. No casualties were reported in the blast. This was one of four attacks in Taizz on this date. No group claimed responsibility for the incident; however, sources attributed the attack to Houthi extremists (Ansar Allah).",Bombing/Explosion
2533,2017-03-21,Afghanistan,"03/21/2017: Assailants shot and killed Qari Roohullah Fayaz, a former Laghman Provincial Council member, in Laghman, Afghanistan. No group claimed responsibility for the incident.",Assassination
2534,2017-03-22,Iraq,"03/22/2017: An explosive device detonated in Shaab neighborhood, Baghdad, Iraq. At least one person was injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
2535,2017-03-22,Iraq,"03/22/2017: An explosive device detonated near a market in Subaihat, Al Anbar, Iraq. At least one person was killed and five people were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
2536,2017-03-22,Iraq,"03/22/2017: Security forces discovered and destroyed six explosives-laden vehicles in Tammuz neighborhood, Mosul, Nineveh, Iraq. No group claimed responsibility for the incident.",Bombing/Explosion
2537,2017-03-22,Pakistan,"03/22/2017: An explosive device detonated at a government girl's school in Qila Abdullah district, Balochistan, Pakistan. There were no reported casualties in the blast. No group claimed responsibility for the attack.",Bombing/Explosion
2538,2017-03-22,India,"03/22/2017: Assailants set fire to a Sashastra Seema Bal (SSB) outpost in Pilibhit district, Uttar Pradesh, India. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Facility/Infrastructure Attack
2539,2017-03-22,Pakistan,"03/22/2017: An explosive device detonated near a Pakistan Army convoy in Angor Adda, Federally Administered Tribal Areas, Pakistan. At least one soldier was killed and three other soldiers were injured in the blast. No group claimed responsibility for the attack.",Bombing/Explosion
2540,2017-03-22,Afghanistan,"03/22/2017: An explosive device detonated prematurely while being planted in Loy Bagh, Helmand, Afghanistan. At least six assailants were killed and four assailants were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
2541,2017-03-22,Afghanistan,"03/22/2017: Security forces identified and killed a suicide bomber targeting a police checkpoint in Nesh, Kandahar, Afghanistan. No group claimed responsibility for the incident.",Bombing/Explosion
2542,2017-03-22,Afghanistan,"03/22/2017: An explosive device detonated in Imam Sahib, Kunduz, Afghanistan. At least three people were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
2543,2017-03-21,Somalia,"03/21/2017: Assailants opened fire on Hussein Ilyes Madobe in Bardere, Gedo, Somalia. Madobe, a local Red Cross staffer and Somtel Telecom employee, was killed in the assault. No group claimed responsibility; however, source attributed the attack to Al-Shabaab.",Armed Assault
2544,2017-03-22,Afghanistan,"03/22/2017: An explosive device detonated prematurely while assailants were planting it in Ghani Khel, Nangarhar, Afghanistan. At least two assailants were killed in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
2545,2017-03-22,Turkey,"03/22/2017: Assailants equipped with rockets and firearms attacked a military base in Cukurca district, Hakkari, Turkey. At least one soldier was killed and four soldiers were injured in the assault. No group claimed responsibility; however, sources attributed the incident to the Kurdistan Workers' Party (PKK).",Armed Assault
2546,2017-03-22,Nigeria,"03/22/2017: Three suicide bombers detonated targeting an internally displaced persons camp in Muna Kumbori neighborhood, Maiduguri, Borno, Nigeria. This was one of three coordinated suicide attacks in Maiduguri on this date. In addition to the assailants, at least two people were killed in this blast and 20 people were injured across the three attacks. No group claimed responsibility for the incidents.",Bombing/Explosion
2547,2017-03-22,Nigeria,"03/22/2017: A suicide bomber detonated in Muna Dagalti neighborhood, Maiduguri, Borno, Nigeria. This was one of three coordinated suicide attacks in Maiduguri on this date. In addition to the assailant, at least one person was killed in this blast and 20 people were injured across the three attacks. No group claimed responsibility for the incidents.",Bombing/Explosion
2548,2017-03-22,Nigeria,"03/22/2017: A suicide bomber detonated in Muna Balaya neighborhood, Maiduguri, Borno, Nigeria. This was one of three coordinated suicide attacks in Maiduguri on this date. The assailant was killed in this blast and 20 people were injured across the three attacks. No group claimed responsibility for the incidents.",Bombing/Explosion
2549,2017-03-22,India,"03/22/2017: Assailants opened fire on and stabbed a police officer in Kuprel, Chhattisgarh, India. The officer was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Maoists.",Armed Assault
2550,2017-03-22,Pakistan,"03/22/2017: An explosive device detonated along Pakistan Railways tracks near the Rohri Railway Station in Misri Shah, Sindh, Pakistan. There were no reported casualties in the blast. This was one of two attacks targeting the same railway line in Sindh on this date. No group claimed responsibility for the incidents.",Bombing/Explosion
2551,2017-03-22,India,"03/22/2017: Assailants set fire to a meat shop in Hathras, Uttar Pradesh, India. There were no reported casualties. This was one of four attacks targeting meat shops in the area on this date. No group claimed responsibility for the incidents; however, residents attributed the attacks to Hindu extremists.",Facility/Infrastructure Attack
2553,2017-03-22,India,"03/22/2017: Assailants set fire to a meat shop in Ladpur, Uttar Pradesh, India. There were no reported casualties. This was one of four attacks targeting meat shops in the area on this date. No group claimed responsibility for the incidents; however, residents attributed the attacks to Hindu extremists.",Facility/Infrastructure Attack
