source_row_id,text,source_topic_8,source_topic_44,gt_policy_domain
490,All that the projections take into account is that the industry is doing remarkably well and is something that the country should be proud of.,economy,economic.growth,Economy
491,"That was an extremely good question that, I am sure, will help to enlighten the Opposition. Moves were taken by the Government to reduce duty avoidance and fraud through the alternative specific tariff of $ on imports of used passenger cars up to cc, and $ for others, along with new documentation requirements by the Ministry of Transport and the Customs Department. I believe that those policies have been most effective in reducing fraud and duty avoidance.",economy,protectionism,Economy
492,"Speaking to the point of order, Mr Speaker, I point out that not only do I have responsibility for this area, but the fact is that I have been solely responsible for the achievements in it.",political.system,political.authority,Political System
493,"This is a particularly interesting question, and an even more interesting answer. Coalcorp has also advised that production-related bonus payments are affected by numerous factors such as geological conditions and the performance of other mine equipment. The effect of a single factor such as the problems with the Mitsui roadheader cannot be calculated with any certainty. However, I am happy to advise that Coalcorp is working in conjunction with Mitsui to overcome the faults with the roadheader, and modifications are already under way.",economy,technology.and.infrastructure,Economy
494,"If the member had listened to my previous answer he would have heard very clearly exactly what we are doing. The Ministry of Forestry and the Ministry for the Environment are working on giving guidelines, so that that kind of shambles can be---and will be---avoided and resolved in the future.",social.groups,agriculture.and.farmers,Social Groups
495,The House will be glad to hear that the European Union's implementation of the result of the GATT Uruguay round will bring important gains to sheepmeat farmers.,social.groups,agriculture.and.farmers,Social Groups
496,"I commence by thanking everybody for their generous eulogies about the jewel in the crown, and say that that no doubt refers to the management abilities of the board, the management, and, I presume, the Minister. To that extent I thank everybody for their generous accolades. Flattering as some of the comments have been---and Forestry Corporation has been a great achievement---I do note that the value of the corporation in the last balance sheet is $. billion, and I am intrigued to hear a value of $ billion being placed on it by the member for Timaru. Although we do not have any plans to sell the corporation, I suggest that if he can introduce a buyer for $ billion then that could certainly change a few minds. That would be a return on investment of about---",economy,free.market.economy,Economy
497,"A scoping study was indeed prepared in , but no decision was taken by the Government on the sale of the farming company, because of Treaty of Waitangi issues. There is no intention at this stage to change that particular decision.",fabric.of.society,multiculturalism,Fabric of Society
498,"Tradenz has an active programme of involvement with a number of other ministries, and is certainly---",political.system,governmental.and.administrative.efficiency,Political System
499,"The separation of Trans Power should not affect transmission prices in the short term, although in the longer term we would expect increased efficiencies to reduce real average transmission prices. Of course the Government is establishing Trans Power as an independent and transparent operator of the national grid. Competition in electricity generation will be encouraged. As a result of competition and efficiencies, real average electricity prices should become more competitive in the longer term.",economy,market.regulation,Economy
500,"It is more than insulting---or less than insulting, depending on one's point of view. The families getting these / loaves of stale bread are the same families who, years ago, lost $ a week. So one can understand why they were falling about the floor with enthusiasm on Budget night when they received the benefit of this focus on the family---they got back $ of the $ they lost years ago at the hands of this Government! If one happened to be a sole parent trying to raise a child, one did not get even the $, only the memory that one is still $ down each week from years ago. In this Budget the focus was indeed on the family. It was on the shameful abuse and neglect of the families who have the least and who continue to have no reason for hope or relief, from this Government. So who does look after these people? Who does look after those who have real need? It is increasingly the voluntary groups, and the Minister did acknowledge that. He described them as ``those who play an important part in strengthening communities'', and I agree, they most certainly do. But, again, the hope was short-lived because, with ever-increasing demands on the services of these voluntary agencies from families caught up in not a virtuous circle, but, I have to say, a vicious cycle---a cycle of low income, of poor nutrition, poor housing, and increasingly poor health---with ever more responsibility falling to these agencies, this Government retreats ever further from its traditional responsibilities, its social and moral responsibilities. What did they get from this Government's Budget? They got crumbs; they got peanuts. I say to the member for Wallace, when he explains the generosity of the content of this Budget, that there were, apparently, a few more dollars for the voluntary sector, but it is this sector that has been stripped of resources in the past by this Government. It is this sector that, for those crumbs, is trying to replace that work when times that amount has been taken away from Government-funded agencies. It is basically playing with mirrors. What is more, these agencies, which have a long and proud tradition of co-operation and of working together with a heart, are basically being set against each other to compete for these crumbs because it is the only way they get them. I will cite an example in my own electorate. I want to tell the Minister about the women's refuges in my electorate that are dealing with more and more of the consequences of the social decay that is going on for many of the people who do not have the benefit of high incomes. They are getting a minuscule amount of additional funding, less than they lost some / to years ago. What is more, more agencies are being funded out of that budget. They are struggling to provide the services on fewer resources in any functional sense. So the volunteers, who are already overstretched, are having to run more cake stalls, more auctions, more of everything, simply for the privilege of being volunteers in a volunteer organisation. I tell this Minister and this National Government that, in the wake of their Budget's so-called virtuous circle, the food bank in Tokoroa last Sunday had to enlist the support of the local fire service to go drumming around the streets to try to shake some more groceries out of the households of Tokoroa to put back on the empty shelves of the food bank. We have generous people there. We have generous shops in Tokoroa that week after week put some food there. The truth of the matter is that more and more families only get food on the table every week by visiting that food bank. The local fire service siren had to be used out on the streets to shake people out of their houses on a Sunday morning. There is nothing wrong with a bit of generosity and a bit of giving, but, my goodness, our communities have given and given and given, and the ones who give the hardest and the most are usually the ones who can least afford it. So, all credit to those good people in Tokoroa who came out with the groceries and put them in the little bags that the fire service gathered up. But that is no way to deal with the increasing level of structural poverty that is being reinforced daily by this Government's policies, and which is reflected in this Budget. I know I am running out of time, but this Government stands accused---",welfare.and.quality.of.life,welfare.state.expansion,Welfare and Quality of Life
501,"I am pleased to speak to the introduction of the Bill. As has been said by a number of members already, the Bill is indeed an important measure. I would hope that in the course of this introduction---to what is an amendment to the Industry Training Act---we can get some of the key facts clear. Clearly, this Bill will be referred to the select committee. When it is, I hope the opportunity to give careful consideration to the Bill will be taken. I would like to canvass again one or two of the facts in order to assist, I hope, that process in some small way. Yes, this Bill will require all employers to have a strategy for training. I would hope that no member in this House would doubt the urgent need for all employers to have some strategy for appropriate training. Yes, this Bill promotes the notion of a partnership between the Government, industry workers and their representatives, and educators. Again, if we are to have employers with an effective strategy for training to address what is, indeed---despite what the Minister would have us believe---a skills-training crisis in New Zealand, then, indeed, we will have to have that co-operation and that partnership in dealing with that crisis. This Bill sets out to put in place a system across the entire economy, and nothing less will do. It has to be across the entire economy. We have to upskill our workforce continually if we are to meet the needs of industry at a crucial point in our economic development. I repeat that that is in the interests of industry. It is equally in the interests of workers and of our entire community. This is what this private member's Bill sets out to do. It saddens me that the Minister seems determined to avoid the very nature of the problem that exists. This Bill is necessitated by a Labour Opposition that sees the necessity to act responsibly, given that the so-called skills strategy that we now have has left a huge vacuum. We have seen largely the running down of an apprenticeship system. I would not suggest for a moment that the system was perfect; it needed all sorts of work on it. However, to have the apprenticeship system run down without an adequate alternative is negligent.",economy,technology.and.infrastructure,Economy
502,"I raise a point of order, Mr Speaker. The member seems to be challenging the integrity of a previous speaker. Can we have your clarification on this.",freedom.and.democracy,constitutionalism,Freedom and Democracy
503,Unlike that member I would not try to humiliate my constituents. If that member had the courage to come to my electorate---,political.system,political.authority,Political System
504,"They have apparently got to travel by way of a personal water craft---a power-driven ship that has a fully enclosed hull and does not take on water. We cannot call it a jet ski, which is actually what we do call them in Taupo. However, we will not go into that for the moment. I do want to raise with the Minister some questions about clause relating to Lake Taupo. As the Minister knows, in clause () the Minister of Local Government is restated as the Minister responsible, under section I of the principal Act, for Lake Taupo ``and remains the responsible Minister until the close of a date specified by an order made under subsection ().'' Subclause () goes on to indicate that the Governor-General may, by Order in Council made on the recommendation of the Minister of Local Government, specify the date on which the Minister ceases to be the responsible Minister for Lake Taupo. I want to ask the Minister whether there has been any consideration of such a recommendation to the Governor-General, and, if so, whether local advice has been sought on that matter. Has the local community been given an opportunity to give its views on that matter? If in the future any such consideration was being given, is there a plan as to how that is to be conducted, because, as the Minister knows, local people in the Taupo district take very seriously anything to do with changes to the operation of all authorities on their lake? So I do want the Minister to add that to the very long list. I think he is preparing to get up and address the Committee. He seems to be moving. He seems to be getting ready to take a call. I just hope this is one of the many questions this Minister will finally address, in terms of those raised by members of the House.",political.system,centralization,Political System
505,The Associate Minister talked about resources. Is he announcing the cancellation of the tax cuts?,no.topic,no.topic,No Topic
506,We already have a member sitting here ready to take it.,political.system,political.authority,Political System
507,Your earlier ruling was quite correct. That member is in fact wasting the time of the House with the point of order---,political.system,political.authority,Political System
508,"I appreciate your ruling on the point of order, Mr Chairperson. It was most informative. I wonder whether I could seek the leave of the Committee to allow a wide debate on this matter. I will not repeat the arguments that the Opposition junior whip made, but in the light of those arguments I seek the leave of the Committee to allow a wide-based debate on this matter.",freedom.and.democracy,democracy,Freedom and Democracy
509,"I raise a point of order, Madam Chairperson. I think the Minister completely flouted your ruling. The only thing that brought him to the estimates debate was the fact that I was in the middle of a point of order. If the member cannot stick to your rulings then his speech should be discontinued.",freedom.and.democracy,constitutionalism,Freedom and Democracy
510,"Is this inability again to reach agreement with his own colleagues, including the Minister of Conservation, who today on Radio New Zealand agreed that ``providing we don't discriminate, then we have quite a defensible position'', the reason for Government inaction, demonstrating yet again its reliance on Labour to produce the positive policy initiatives that the people of New Zealand are looking for?",political.system,political.authority,Political System
511,"It may as well be a million dollars. Many, many hundreds, probably thousands, of New Zealanders have had that additional financial burden imposed upon them by this Government's churlishness. I think it is appropriate for the Minister to take the floor and explain to the Committee why that unnecessary delay was pushed on to, and visited upon, the people of New Zealand, and what will now be done about it. Indeed, Phil Goff asked a quite valid question: will there be some compensation for those who have unnecessarily carried the burden of the Government's bruised ego?",political.system,political.authority,Political System
512,Could I help the member by saying that information is on the e-mail at the moment. Vote agreed to.,political.system,political.authority,Political System
513,"I would agree that is so under normal circumstances, Mr Chairman, and your guidance is quite proper, but, of course, the time-frames have not allowed for that sort of orderly discussion. As I think the chief Government whip would agree, we are often of the view that if proper times were allowed for proper negotiation, things might run a little more smoothly around here. Perhaps I could refine my request and ask for an assurance that the Government will not move any closures, thereby stymieing any opportunity for the proper consideration of the legislation that is now before the Committee.",freedom.and.democracy,democracy,Freedom and Democracy
514,"The member is right. The Government does not want to get people into real jobs. It might be a cynical view, but I am afraid that the member may well be right. What this Bill is---and it does not even do this effectively---is a small, first step towards the full-on ``work for the dole'' scheme, towards forcing people into the ``work for the dole'' scheme. It is a mean-spirited part of a larger mean-spirited agenda, which is always about trying to blame the victims. It is always about trying to blame and deliver punishment to the people in our community who are already having the toughest time. I have studied this Bill very carefully, and I have some considerable background in these matters, having worked with some of the agencies that are covered in this Bill. Nothing in this Bill convinces me that it will succeed in its rather inadequate and modest objective of getting those two agencies to work together. It does not even begin to address some of the huge anomalies. One of my colleagues said last night that some of the agencies in various parts of the country have long-term leases on office accommodation. We will end up with scraps amongst the agencies over who moves into which building and which decor to have. But the Bill does not even address those matters. We are not going to have a one-stop shop. The agencies will continue to use their own letterheads, their own logos. This Bill is a sham. It represents months' work but it has not created a single job. It is an absolute sham and a failure. The one redeeming feature here---unlike the shabby push-through we saw yesterday with the Fire Service Amendment Bill---is that this hopeless Bill will at least go to a select committee where it may well be redeemed, because, like some other Government measures, it may re-emerge eventually with only the title intact. A party vote was called for on the question, That the Employment Services and Income Support (Integrated Administration) Bill be now read a second time. Ayes New Zealand National ; New Zealand First ; ACT New Zealand ; United New Zealand ;Independent . Noes Labour ; Alliance . Majority for: Bill read a second time, and referred to the Government Administration Committee.",social.groups,labour.groups,Social Groups
515,I have received the Tourism Industry Association's industry confidence survey report conducted in conjunction with Ernst and Young. It shows that the tourism industry as a whole is expecting business and profits to be better this year than last year. More than three-quarters of respondents expect improved revenues and improved profitability. More than a third anticipate employing more staff.,economy,economic.growth,Economy
516,"I move, That urgency be accorded the Committee stage of the Employment Relations Bill. The Employment Relations Bill is a major piece of legislation, in terms of its significance and size. Urgency is being taken to extend the sitting hours so that the Committee can proceed purposefully through its work over several days, and to allow it the opportunity for fulsome consideration and debate of the bill. The Government advised the Business Committee of this intended course of action on August. A party vote was called for on the question, That urgency be accorded. Ayes Labour ; Alliance ; Green Party . Noes New Zealand National ; ACT New Zealand ; New Zealand First ; United New Zealand . Majority for: Motion agreed to.",freedom.and.democracy,democracy,Freedom and Democracy
517,"I have given some indication as to the present position of the three generators that are still State-owned, but I do note that the previously State-owned Contact Energy is the one company that has publicly admitted it is doing rather well out of the wholesale market, a fact that is reflected in its rising share price.",economy,nationalisation,Economy
518,"Those are not statements that I understand the Deputy Prime Minister has made. But it is certainly the case that whilst the shareholding Ministers, of which I am one, consider, as we are required to do properly, the case as it is put to us by the board of New Zealand Post, the Deputy Prime Minister continues to show his enthusiasm and ideas in relation to this. This a concept I know members opposite have great difficulty grasping: that Ministers have ideas and enthusiasm to do something for their country.",fabric.of.society,national.way.of.life,Fabric of Society
519,"Clearly, that remains to be seen. However, I must say that I welcome the appointment as chair of the bank board someone with the experience and standing of the Rt Hon. Jim Bolger, the last National leader to be elected as a Prime Minister of New Zealand.",political.system,governmental.and.administrative.efficiency,Political System
520,"Yes, I have seen reports from the Department of Statistics and Tourism New Zealand that show that there was a percent increase in international visitor arrivals in October. The additional visitors added an estimated $ million to the New Zealand economy during the month. That is an additional new $ million. On an annual basis, visitor arrivals are also up by an overall percent, and have reached a record . million. Their contribution to the New Zealand economy is estimated at more than $. billion.",economy,economic.growth,Economy
521,"I can say to the member that, first, the withdrawal plan is based on the Government's decision of August for the disposal, in stages, of Hobsonville. Second, I can equally clearly state that there is no agreement at all between Sovereign Yachts, any of its agents, or anyone else for that matter, for the sale of any further land at Hobsonville. If and when each of those lots becomes available it will be disposed of in accordance with the requirements of the Act. As the member quite rightly points out, if there is another public work requirement, it takes priority.",economy,economic.orthodoxy,Economy
522,"Mr Speaker, it requires a great deal of speculation. I will look at the document, take advice, and then come back to you on it.",political.system,governmental.and.administrative.efficiency,Political System
523,"I assure the member that my request for proof, evidence, and information makes sense. I can make sure of that, but before I even get to my office, those questions will already have been asked by my staff on my behalf, and I will expect that information to be presented to me.",political.system,governmental.and.administrative.efficiency,Political System
524,"In that case, I probably should put on the record that you gave me the call just briefly. The member is correct that in the newspaper he referred to there is speculation as to the content---",political.system,political.authority,Political System
525,"On September I replied to a question from the Hon. Max Bradford concerning the New Zealand Army and its engagement of the services of Communications Trumps. It has recently been brought to my attention that further information has become available. The total amount paid to Communications Trumps since was $,., not $, as stated in my answer in the House.",freedom.and.democracy,democracy,Freedom and Democracy
526,"The Evening Post is entitled to speculate all it likes, just as the member is. I will be making announcements to this House tomorrow.",freedom.and.democracy,freedom.and.human.rights,Freedom and Democracy
527,"Anything I quoted from is included in the documents, except the Bell Gully opinion, which I may have referred to---I tabled it last week. There are certainly no other documents that I quoted from.",political.system,political.authority,Political System
528,"A wide range of industries, proposed job creation ideas, and business development programmes have been assisted by the grants.",economy,incentives,Economy
529,"The member made a very serious allegation when he said that I was asleep during the Committee stage. That is an absolute falsehood. In fact, the argument was so boring that it caused me to yawn. The Opposition's argument was so bad, and its performance was so appalling, that I was yawning with boredom. Is it surprising that I had to try to keep awake? The point I make is that the Opposition did not divide the House on whether the Bill should be split into two parts, but then it raised a point of order on whether the Bill should be split into two parts. It was a most astonishing performance from Opposition members. They must be for or against something; they have to make up their minds. The Opposition comes into the House repeatedly with half a mind, but it cannot even make it up. In conclusion, I repeat the facts in relation to the position of the Coal Research Association. On October it wrote inviting the Government to drop the compulsory aspect of the levy. It also invited me to visit its premises---something that I was very pleased to be able to do only a few months ago. On February it wrote again requesting that the levy no longer be a compulsory levy, and stating that its members had reached agreement to have a voluntary levy. However, today the Opposition has been trying to get the Government to pry into the private affairs of an independent organisation; to say which member moved the resolution, and which member seconded it; to say whether the Coal Corporation was involved, or whether it was someone else. I do not mind who in that organisation moved the resolution that the association seek a voluntary levy. I do not mind who seconded the resolution. As Minister I must seriously consider the application that the association made to me and decide whether the levy should become voluntary or remain compulsory. I was happy to oblige. I find it astonishing that Opposition members should come into the House and say repeatedly that there should be voluntary union membership, and voluntary this and voluntary that, yet now divide the House on retaining a compulsory levy on an organisation that has written to me asking me to make it voluntary. Today's performance by the Opposition has been probably the most appalling in many months. The member for Maramarua set himself traps and fell into them. He answered his own questions repeatedly. Opposition members have not done their homework on the Bill. They forgot to read it in the context of part of a wider Act of Parliament, and therefore misled the House utterly, and anyone who had been listening---",political.system,political.authority,Political System
530,"the Government had tried to ensure that the regions developed their own resources. The problems in the King Country had stemmed from overstimulation within the principal industries. Industries within that region had been lent money at an interest rate of . percent when the inflation rate had been percent, and that had caused the price of farm land to increase. The Regional Development vote was made up of $. million for the regional development investigation grant scheme, $. million for the regional development councils, and $ million for the unit rates scheme. There would be a statistical discrepancy because approved regional development investigation grant schemes did not receive money until receipts were shown for work that had been carried out. Experience had shown that a portion of the grants would not be discharged. The remainder of the applications for regional development investigation grants would not be turned down. Funding was still available, but a limit of $, had been established to ensure that certain corporate interests that had accounted for percent of the applications would no longer be able to obtain percent of the money voted. Most of the new developments that were being investigated under the regional development investigation grant scheme would be more than readily accommodated by the $, limit that had been established. A recent conference of the chairmen of the regional development councils had expressed a desire for positive, market-led growth in the economy. The functioning of regional development councils and the effectiveness of Government expenditure on them was to a large extent determined by the assistance they received from their local members of Parliament. The Government members had provided more of that assistance than had Opposition members.",social.groups,agriculture.and.farmers,Social Groups
531,the Government had succeeded in getting access to Japan for squid. The individual transferable quota system was important for the fishing industry. Sitting suspended from . p.m. to . p.m.,social.groups,agriculture.and.farmers,Social Groups
532,"Yes, I acknowledge that I received one barely coherent letter from the honourable member.",political.system,political.authority,Political System
533,Yes. The only figure I have so far in relation to the money spent on the load-out facilities---which are only one part of the whole exercise---is that it already totals more than $ million. That money is being spent in Taranaki.,economy,technology.and.infrastructure,Economy
534,"tariffs were being reduced and that it was not true that the tariff concessions review had been designed to increase tariffs. It had been designed to cement in the low concessional rates by transferring them to Part I of the tariff. However, it had become apparent that that could not be done in time. He had honoured the promise that no tariff would increase as a result of the review. Several firms had stopped trading in the Hastings electorate. There could have been bad management in some cases. A series of climatic disasters in the Hawke's Bay area had resulted in the province earning about $ billion less in income in than it would have done, and there had been less money to spend in retail outlets. The community employment and investigation scheme and the regional development and investigation grants scheme were still in place. The regional development and investigation grants scheme was still available through the business development boards. The new investigation grants scheme would also be available through those business development boards. The footwear and clothing industries had been given excessive protection over a long period. In relation to the effect on families of a change in the protection regime, a recent report indicated that prices had decreased, the quality of goods and accessories had improved, and technology had advanced significantly. He had attended the successful launching of the Wairarapa Business Development Board. The Prince Philip Award for industrial design had not been awarded since December . Ministry officials had discussed with other parties such as the Trade Development Board and the design industry a programme that would incorporate the design award. The administration of the importation of a car by Mr O'Sullivan had been the responsibility of the Customs Department. That administration had been transferred to the Ministry of Commerce, and the ministry was reviewing the procedures that should be applied in such cases. He had cleared the importation of that particular car under a tariff concession. The money allocated in the Budget for the corporate services component had included the move into the new Ministry of Commerce building and the fitting out of that building. The building had been expensive, but the lease had been signed just before the stock market crash.",economy,protectionism,Economy
535,"It is correct that for the months ended August apparel imports from Fiji totalled $,, c.i.f., while for the same period in apparel imports were $, c.i.f. I know of the concerns that have been expressed by some manufacturers and their employees about the effect of the increasing levels of Fiji apparel imports on the New Zealand clothing industry, but have explained to these groups that the South Pacific Regional Trade and Economic Co-operation Agreement has a safeguard clause under which action may be considered. The Textile and Garment Manufacturers Federation in fact recently withdrew an application for safeguard action, under the agreement, for knitted garments because it did not consider that it could provide evidence to show that the New Zealand industry had been seriously injured by imports of such goods under the agreement. In a wider context, of course, importers and retailers make the point that the importation of clothing from Fiji has led to benefits for New Zealand consumers by way of cheaper goods and a wider range of choice. It has not been established that Fiji apparel imports are causing serious damage to the New Zealand clothing industry. There are no implications for policy. However, I do intend to continue to monitor carefully the levels of Fiji apparel imports.",economy,protectionism,Economy
536,"What efforts, on a regional basis, is the Government making to combat people-smuggling?",fabric.of.society,national.way.of.life,Fabric of Society
537,Has the Minister heard any criticism of home detention from the Opposition spokesperson on corrections?,fabric.of.society,law.and.order,Fabric of Society
538,"I have mixed feelings about the mixed-member proportional representation system (MMP). When the referendum was held last year, the citizens of New Zealand voted for change and MMP was the preferred system of government. Since then many people in New Zealand have been waiting for the findings of the select committee. I congratulate the committee on the time and effort it has put into the matter. It has been a very hard job to do because different factions in New Zealand have been lobbying. In the end, it was no mean feat to come up with something that will be a happy result for all. Anti-MMP groups have been lobbying vigorously throughout New Zealand during the past few months. Members of Parliament who believe that MMP is the best option for political reform in New Zealand have also been lobbying and pushing for their own interpretations. People are very confused; most of them do not know who they should believe or how they should vote on electoral reform. I hope that all of those who are concerned about the future of our country are listening to this second reading debate as the Bill passes through the House. I feel that the people want open, democratic government that they can be a part of. I believe that the first priority should not be electoral reform, but, rather, parliamentary reform. Aspects of the Westminster system should be changed so that the passage of legislation through the House cannot be hijacked by the Executive elite. Select committees should have more power in the decision-making process. Cabinet Ministers should sit on the appropriate select committees. The Minister must be accountable to the portfolio he or she holds, and, more important, that should happen through open forums, with concerned citizens and lobby groups having their say. The role of this House is really to be accountable to the citizens of New Zealand. That, combined with citizens-initiated referenda, will make for more open Parliament. Binding citizens-initiated referenda would give the voting population more input into the policies of New Zealand and make the Government more accountable, especially on more controversial issues. I believe that reform within Parliament is urgently needed. We are putting the cart before the horse if we introduce electoral reform before parliamentary reform. Over recent years we have seen huge changes in New Zealand. At the same time, people have not been consulted and promises have been broken by all parties. People expect their members of Parliament to be more accountable and answerable to their electorates. A binding referendum at the next general election will enable the introduction of MMP. The people's choice should be decided by more than percent of actual voters only, not of the number on the electoral roll. It is unacceptable to me to allow non-voters to be counted as votes for the status quo. If one does not exercise one's vote one cannot participate in the future of our country. If MMP is to become law the citizens will get two votes, the first for a local member and the second for a member from a party list. I shall support the amendment to the Bill that requires democratic candidate selections by supporting open regional lists. The public's interests must be protected. There must be credibility and integrity in the political process. A closed party list would only encourage party toadies and persons who would not be accountable. That is not what the people want. Nor would closed party lists encourage Maori participation. I believe that under MMP the four special Maori seats would no longer be necessary and should be disbanded. New Zealand is made up of many multicultural and ethnic groups, and, through MMP, that will enable those groups to put forward their parties or organisations and have the right to stand in Parliament. In areas of high Maori population the Maori will be able to contest elections in their own right. However, that will be possible only with a system of regional party lists. Since New Zealand is made up of many cultural groups, all ethnic groups would be able to have their own representatives.",freedom.and.democracy,democracy,Freedom and Democracy
539,"Listening to the member for Papatoetoe reminded me of a team of dogs. The member does not know whether he is a huntaway or an eye dog, but perhaps he needs an electric collar just to keep him in his place. There is an old song that used to go: ``Bring back, bring back my troubles again.'', and that is what the member reminds me of. I should like to talk about the Labour Government's lack-lustre performance and its lack of respect. With leaders in months it forgot what the political system was all about. It had a lot of worrying dogs and a few of them need to be shot. The Leader of the Opposition, who was an Associate Minister for ``Rogernomics'', has said that he cannot remember all the broken promises his party delivered. That is a shame. He must be a little wet behind the ears, as the previous speaker is. The Labour Party's philosophy at the election was: ``Moore, give us Moore, tell me Moore.''. It is amazing that the Leader of the Opposition forgot to tell more about how many broken promises he made. More fresh air is what we need. Record unemployment, record bankruptcies, and even record marriage breakups have caused tremendous stress amongst the community.",political.system,political.authority,Political System
540,"When the debate was interrupted I was telling the House that the Minister for State-owned Enterprises had not had the decency to receive Dame Whina Cooper---a very noted, well-loved, and respected woman, not just in the Hokianga area, but throughout Northland---to discuss the matter of the Panguru Post Office, which is being closed. Dame Whina rang me the other day to ask if I could ensure that the Government does not sell the Panguru Post Office to overseas interests. She is concerned that the Government appears to be selling anything. Dame Whina asked me about the Bill, and I told her that its purpose is to make sure that her post office will be protected, and to give the House the opportunity to debate the issue. Clause states that the proposed closure of any post office will have to be debated. Dame Whina was pleased to know that the House would give consideration to that aspect; she is concerned that the Government is now in the death throes of its tenure on the Treasury benches, and she wants to make sure that New Zealanders have something left when the National Party becomes the Government in . Dame Whina asked me to ensure that the issue is debated, and to ensure that there is something left for the people in Panguru. She asked me to say that she wanted her post office retained---not sold overseas, which seems to be the thrust of Government policy in relation to the country's assets. Dame Whina Cooper is well loved throughout New Zealand and she asked me to bring her concern to the attention of the House. She wanted to applaud the member who introduced the Bill for foreseeing the need for the Bill, and for including clauses such as clause , which states that the selling of the post office at Panguru would at least have to be debated in the House. Dame Whina is very concerned about the Government's actions in relation to New Zealand's assets, and she wants some protection.",economy,nationalisation,Economy
541,"Of course---we will have anything that is going! The people of Panguru are still concerned, because they now receive only a rural delivery service, and there is no bus service from Panguru to Kohukohu, which is some kilometres down the road. The post office that used to be in Panguru delivered the cash they needed, as well as supplying a postal service. The people of Houhora---which the member for Napier as chairman of the committee also visited---also feel disadvantaged, and the people of Te Hapua have no contact at all, apart from a rural delivery service that runs only or days a week---not or days week. The binding deed might upgrade the services provided in the Bay of Islands to guarantee a percent service for days a week and a percent service for days a week, in which case those people would be very pleased. However, it will not compensate them for the loss of services that they have suffered. I remind the member for Napier that the select committee reported that the reorganisation of rural delivery services had been a shambles. Although the Minister said that there would be a binding deed I am concerned that there is no guarantee that people throughout New Zealand will have a proper universal postal service. I want to read the binding deed the Minister talked about, because I hope it gives such a guarantee. It is most important to note that the Government has said that it will provide a universal service. I hope the Government will stand by that commitment and ensure that a postal service is maintained on the basis the Minister talked about---a percent service for days a week, and a percent service for days a week. I also hope that the competition introduced by the Bill will not detract from the universality the Minister talked about in relation to the binding deed.",economy,technology.and.infrastructure,Economy
542,"The Prime Minister said that. It is no wonder there is panic in the Government ranks. Government members are turning to the Minister of External Relations and Trade for leadership---a man who is parting his hair more widely than ever, a man who will not use the Labour Party logo, and one wonders why not. He is being looked to for leadership, but he is not prepared to support the Government. It seems to me that if he were the leader---and it is likely that he will be after tomorrow---there would be a team of independents in the Opposition after the election. The election campaigns have already been heard: ``Mike Moore re-election campaign'', with not a mention of the Labour Party; ``A quick glance through the achievements file of our local MP reveals the following'', with nothing about the Labour Party; ``Mike Moore MP---nobody works harder'' is on a scribble pad, with no mention of the Labour Party. That is the kind of leader that those guys will elect tomorrow. Changing the leadership will not save them, nor will it save the Minister of Commerce, the member for Hastings. The National Party has a good candidate for Hastings, Jeff Whittaker; he will win at a trot. Pamphlets will be sent out that will promote the National Party, unlike those sent out by the Minister of Commerce. In that Minister said in his maiden speech: ``Frankly, I am horrified at the change that is coming over New Zealand. New Zealand at present is witnessing sinking morale among teachers, businessmen, and workers, and there is a growing feeling of a lack of direction in the country. There is growing isolation of the Government from the people, and there is growing fear among many people that New Zealand cannot recover from this latest bout of mismanagement. Also, there is a growing list---a very long list---of people who have left. In at least one family in my electorate, three of the four children are already in Australia and the fourth is leaving.''. I bet that is right. What has the Minister done for his seat in Hastings? Agnew Refrigeration Ltd, a long-time, second-generation whiteware firm, is in voluntary liquidation. F. L. Bone and Son Ltd, a hardware business that had been established for more than years, has closed. H. W. Blackmore Ltd is in voluntary liquidation. Poppelwell's, a second-generation menswear firm, is in voluntary liquidation. Georgies, a second-generation menswear firm, is in voluntary liquidation. Garner's Video Ltd is bankrupt---the bank foreclosed. Bedroom Bedroom Your Sleep Centre, which had shops in Waipukurau, Hastings, and Napier, has closed. That is what the member for Hastings, the Minister of Commerce, has done for his electorate. While he is not prepared to support businesses in Hastings, he is prepared to say that it is OK for Australian industries to have a $ billion subsidy.",political.system,political.authority,Political System
