model,task,field,label,support,predicted_support,f1,accuracy,mcc,precision,recall
gemini-3.1-flash-lite,theocharis_dynamics_incivility,uncivil,0,68,72,0.842857142857,0.78,0.479356922404,0.819444444444,0.867647058824
gemini-3.1-flash-lite,theocharis_dynamics_incivility,uncivil,1,32,28,0.633333333333,0.78,0.479356922404,0.678571428571,0.59375
gemini-3.1-flash-lite,toxicity_protests_es,toxic,0,55,45,0.84,0.84,0.69696969697,0.933333333333,0.763636363636
gemini-3.1-flash-lite,toxicity_protests_es,toxic,1,45,55,0.84,0.84,0.69696969697,0.763636363636,0.933333333333
gemini-3.1-flash-lite,twitcivility_impoliteness,impolite,0,72,64,0.794117647059,0.72,0.36748420763,0.84375,0.75
gemini-3.1-flash-lite,twitcivility_impoliteness,impolite,1,28,36,0.5625,0.72,0.36748420763,0.5,0.642857142857
gemini-3.1-flash-lite,wesleyan_creative_ads_2022,tone,promote,75,73,0.959459459459,0.94,0.845297174194,0.972602739726,0.946666666667
gemini-3.1-flash-lite,wesleyan_creative_ads_2022,tone,attack,23,23,0.913043478261,0.96,0.887069452287,0.913043478261,0.913043478261
gemini-3.1-flash-lite,wesleyan_creative_ads_2022,tone,unclear,2,4,0.333333333333,0.96,0.335346810024,0.25,0.5
gemini-3.8-flash,agoraspeech_criticism_agenda,criticism_or_agenda,criticism,48,53,0.891089108911,0.89,0.784439937079,0.849056603774,0.9375
gemini-3.8-flash,agoraspeech_criticism_agenda,criticism_or_agenda,political agenda,52,47,0.888888888889,0.89,0.784439937079,0.936170212766,0.846153846154
gemini-3.8-flash,ballard_incivility,uncivil,0,88,90,0.932584269663,0.88,0.389789721435,0.922222222222,0.943181818182
gemini-3.8-flash,ballard_incivility,uncivil,1,12,10,0.454545454545,0.88,0.389789721435,0.5,0.416666666667
gemini-3.8-flash,bestvater_kavanaugh_stance,pro_kavanaugh,0,43,50,0.924731182796,0.93,0.86855395049,0.86,1
gemini-3.8-flash,bestvater_kavanaugh_stance,pro_kavanaugh,1,57,50,0.934579439252,0.93,0.86855395049,1,0.877192982456
gemini-3.8-flash,bestvater_wm_stance,pro_womens_march,0,10,27,0.540540540541,0.83,0.548098095813,0.37037037037,1
gemini-3.8-flash,bestvater_wm_stance,pro_womens_march,1,90,73,0.895705521472,0.83,0.548098095813,1,0.811111111111
gemini-3.8-flash,brandt_gtd_attack_type,attack_type,Assassination,7,14,0.571428571429,0.91,0.567022091265,0.428571428571,0.857142857143
gemini-3.8-flash,brandt_gtd_attack_type,attack_type,Armed Assault,31,35,0.606060606061,0.74,0.414786870821,0.571428571429,0.645161290323
gemini-3.8-flash,brandt_gtd_attack_type,attack_type,Bombing/Explosion,37,38,0.933333333333,0.95,0.893548021474,0.921052631579,0.945945945946
gemini-3.8-flash,brandt_gtd_attack_type,attack_type,Facility/Infrastructure Attack,3,5,0.5,0.96,0.497597774256,0.4,0.666666666667
gemini-3.8-flash,brandt_gtd_attack_type,attack_type,Hijacking,1,1,1,1,1,1,1
gemini-3.8-flash,brandt_gtd_attack_type,attack_type,Hostage Taking (Barricade Incident),0,0,0,1,,,
gemini-3.8-flash,brandt_gtd_attack_type,attack_type,Hostage Taking (Kidnapping),8,5,0.769230769231,0.97,0.777986605215,1,0.625
gemini-3.8-flash,brandt_gtd_attack_type,attack_type,Unarmed Assault,1,0,0,0.99,,,0
gemini-3.8-flash,brandt_gtd_attack_type,attack_type,Unknown,12,1,0.153846153846,0.89,0.272165526976,1,0.0833333333333
gemini-3.8-flash,brandt_political_relevance,relevant,0,89,78,0.934131736527,0.89,0.661968463895,1,0.876404494382
gemini-3.8-flash,brandt_political_relevance,relevant,1,11,22,0.666666666667,0.89,0.661968463895,0.5,1
gemini-3.8-flash,burnham_covid_threat_minimization,threat_minimizing,0,71,96,0.838323353293,0.73,0.206930276243,0.729166666667,0.985915492958
gemini-3.8-flash,burnham_covid_threat_minimization,threat_minimizing,1,29,4,0.181818181818,0.73,0.206930276243,0.75,0.103448275862
gemini-3.8-flash,burnham_polnli_entailment,entails,0,57,69,0.904761904762,0.88,0.771719548592,0.826086956522,1
gemini-3.8-flash,burnham_polnli_entailment,entails,1,43,31,0.837837837838,0.88,0.771719548592,1,0.720930232558
gemini-3.8-flash,burnham_polnli_event_entailment,entails,0,53,57,0.963636363636,0.96,0.922328876366,0.929824561404,1
gemini-3.8-flash,burnham_polnli_event_entailment,entails,1,47,43,0.955555555556,0.96,0.922328876366,1,0.914893617021
gemini-3.8-flash,burnham_trump_stance,stance_toward_trump,Oppose,39,33,0.833333333333,0.88,0.746905694658,0.909090909091,0.769230769231
gemini-3.8-flash,burnham_trump_stance,stance_toward_trump,Neutral,23,22,0.622222222222,0.83,0.512825481477,0.636363636364,0.608695652174
gemini-3.8-flash,burnham_trump_stance,stance_toward_trump,Support,38,43,0.864197530864,0.89,0.776519454404,0.813953488372,0.921052631579
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Macroeconomics,6,8,0.714285714286,0.96,0.701552175412,0.625,0.833333333333
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Civil Rights,3,3,1,1,1,1,1
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Health,11,10,0.952380952381,0.99,0.948150778616,1,0.909090909091
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Agriculture,4,3,0.857142857143,0.99,0.861549790341,1,0.75
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Labor and Immigration,1,1,1,1,1,1,1
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Education,3,3,1,1,1,1,1
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Environment,6,3,0.444444444444,0.95,0.449247161225,0.666666666667,0.333333333333
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Energy,1,1,1,1,1,1,1
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Immigration,2,2,1,1,1,1,1
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Transportation,0,1,0,0.99,,0,
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Law and Crime,5,7,0.833333333333,0.98,0.836210571747,0.714285714286,1
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Social Welfare,2,1,0.666666666667,0.99,0.703526470681,1,0.5
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Housing,3,4,0.857142857143,0.99,0.861549790341,0.75,1
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Domestic Commerce,8,7,0.533333333333,0.93,0.496968704791,0.571428571429,0.5
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Defense,10,7,0.705882352941,0.95,0.692411258141,0.857142857143,0.6
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Technology,6,2,0.25,0.94,0.264676318049,0.5,0.166666666667
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Foreign Trade,7,12,0.736842105263,0.95,0.742947727747,0.583333333333,1
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,International Affairs,7,10,0.705882352941,0.95,0.692411258141,0.6,0.857142857143
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Government Operations,15,15,0.8,0.94,0.764705882353,0.8,0.8
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Public Lands,0,0,0,1,,,
gemini-3.8-flash,cap_crs_policy_topic,policy_topic,Culture,0,0,0,1,,,
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Macroeconomics,9,11,0.7,0.94,0.671183351206,0.636363636364,0.777777777778
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Civil Rights,11,10,0.571428571429,0.91,0.522015597215,0.6,0.545454545455
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Health,5,6,0.909090909091,0.99,0.908053634709,0.833333333333,1
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Agriculture,8,7,0.8,0.97,0.785903998274,0.857142857143,0.75
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Labor and Immigration,4,3,0.857142857143,0.99,0.861549790341,1,0.75
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Education,10,8,0.777777777778,0.96,0.761783440134,0.875,0.7
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Environment,3,2,0.8,0.99,0.81232010044,1,0.666666666667
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Energy,3,4,0.857142857143,0.99,0.861549790341,0.75,1
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Immigration,0,1,0,0.99,,0,
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Transportation,2,1,0.666666666667,0.99,0.703526470681,1,0.5
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Law and Crime,4,3,0.857142857143,0.99,0.861549790341,1,0.75
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Social Welfare,4,4,0.5,0.96,0.479166666667,0.5,0.5
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Housing,1,2,0.666666666667,0.99,0.703526470681,0.5,1
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Domestic Commerce,2,2,0.5,0.98,0.489795918367,0.5,0.5
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Defense,7,5,0.833333333333,0.98,0.836210571747,1,0.714285714286
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Technology,4,5,0.888888888889,0.99,0.889756521003,0.8,1
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Foreign Trade,3,4,0.285714285714,0.95,0.263251324827,0.25,0.333333333333
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,International Affairs,10,10,0.6,0.92,0.555555555556,0.6,0.6
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Government Operations,5,7,0.833333333333,0.98,0.836210571747,0.714285714286,1
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Public Lands,5,0,0,0.95,,,0
gemini-3.8-flash,cap_party_platform_policy_topic,policy_topic,Culture,0,0,0,1,,,
gemini-3.8-flash,chae_semeval_stance,stance,FAVOR,27,33,0.866666666667,0.92,0.818661523404,0.787878787879,0.962962962963
gemini-3.8-flash,chae_semeval_stance,stance,AGAINST,43,31,0.756756756757,0.82,0.640697553924,0.903225806452,0.651162790698
gemini-3.8-flash,chae_semeval_stance,stance,NONE,30,36,0.818181818182,0.88,0.736485379546,0.75,0.9
gemini-3.8-flash,dicocco_manifesto_populism,populist,0,87,94,0.950276243094,0.91,0.528374191758,0.914893617021,0.988505747126
gemini-3.8-flash,dicocco_manifesto_populism,populist,1,13,6,0.526315789474,0.91,0.528374191758,0.833333333333,0.384615384615
gemini-3.8-flash,douglass_icbe_sentence_event_type,event_type,No Event,32,20,0.461538461538,0.72,0.300122523999,0.6,0.375
gemini-3.8-flash,douglass_icbe_sentence_event_type,event_type,Action,25,34,0.542372881356,0.73,0.365636212064,0.470588235294,0.64
gemini-3.8-flash,douglass_icbe_sentence_event_type,event_type,Speech,21,17,0.631578947368,0.86,0.55098639422,0.705882352941,0.571428571429
gemini-3.8-flash,douglass_icbe_sentence_event_type,event_type,Thought,9,5,0,0.86,-0.0721479105366,0,0
gemini-3.8-flash,douglass_icbe_sentence_event_type,event_type,Mixed,13,24,0.378378378378,0.77,0.27013944678,0.291666666667,0.538461538462
gemini-3.8-flash,erlich_ati_topics,Activities,0,66,55,0.760330578512,0.71,0.411597479245,0.836363636364,0.69696969697
gemini-3.8-flash,erlich_ati_topics,Activities,1,34,45,0.632911392405,0.71,0.411597479245,0.555555555556,0.735294117647
gemini-3.8-flash,erlich_ati_topics,Budget,0,86,72,0.886075949367,0.82,0.518624290169,0.972222222222,0.813953488372
gemini-3.8-flash,erlich_ati_topics,Budget,1,14,28,0.571428571429,0.82,0.518624290169,0.428571428571,0.857142857143
gemini-3.8-flash,erlich_ati_topics,Evaluation,0,71,87,0.835443037975,0.74,0.277192127394,0.758620689655,0.929577464789
gemini-3.8-flash,erlich_ati_topics,Evaluation,1,29,13,0.380952380952,0.74,0.277192127394,0.615384615385,0.275862068966
gemini-3.8-flash,erlich_ati_topics,External Contracts,0,80,76,0.923076923077,0.88,0.655610068107,0.947368421053,0.9
gemini-3.8-flash,erlich_ati_topics,External Contracts,1,20,24,0.727272727273,0.88,0.655610068107,0.666666666667,0.8
gemini-3.8-flash,erlich_ati_topics,Institutional Structure,0,76,79,0.903225806452,0.85,0.572563591522,0.886075949367,0.921052631579
gemini-3.8-flash,erlich_ati_topics,Institutional Structure,1,24,21,0.666666666667,0.85,0.572563591522,0.714285714286,0.625
gemini-3.8-flash,erlich_ati_topics,Other,0,99,80,0.882681564246,0.79,-0.050251890763,0.9875,0.79797979798
gemini-3.8-flash,erlich_ati_topics,Other,1,1,20,0,0.79,-0.050251890763,0,0
gemini-3.8-flash,erlich_ati_topics,Regulatory,0,89,77,0.89156626506,0.82,0.415419328931,0.961038961039,0.831460674157
gemini-3.8-flash,erlich_ati_topics,Regulatory,1,11,23,0.470588235294,0.82,0.415419328931,0.347826086957,0.727272727273
gemini-3.8-flash,gilardi_relevance,relevant,0,48,44,0.95652173913,0.96,0.92259984619,1,0.916666666667
gemini-3.8-flash,gilardi_relevance,relevant,1,52,56,0.962962962963,0.96,0.92259984619,0.928571428571,1
gemini-3.8-flash,gilardi_stance,stance,pro,5,21,0.384615384615,0.84,0.444966276777,0.238095238095,1
gemini-3.8-flash,gilardi_stance,stance,neutral,54,35,0.629213483146,0.67,0.382802615182,0.8,0.518518518519
gemini-3.8-flash,gilardi_stance,stance,contra,41,42,0.795180722892,0.83,0.650055478423,0.785714285714,0.80487804878
gemini-3.8-flash,halterman_keith_bfrs,event_type,ASSASSINATION,31,19,0.76,0.88,0.722566777474,1,0.612903225806
gemini-3.8-flash,halterman_keith_bfrs,event_type,DRONE_ASSASSINATION,0,0,0,1,,,
gemini-3.8-flash,halterman_keith_bfrs,event_type,ATTACK_ON_STATE,4,4,1,1,1,1,1
gemini-3.8-flash,halterman_keith_bfrs,event_type,CONVENTIONAL_ATTACK_ON_GOV_FORCES,7,10,0.823529411765,0.97,0.823054891753,0.7,1
gemini-3.8-flash,halterman_keith_bfrs,event_type,GUERILLA_ATTACK_ON_GOV_FORCES,3,1,0.5,0.98,0.571488693326,1,0.333333333333
gemini-3.8-flash,halterman_keith_bfrs,event_type,GOV_ATTACK_ON_NONSTATE_COMBATANTS,5,5,1,1,1,1,1
gemini-3.8-flash,halterman_keith_bfrs,event_type,GOV_ATTACK_ON_CIVILIANS,3,2,0.8,0.99,0.81232010044,1,0.666666666667
gemini-3.8-flash,halterman_keith_bfrs,event_type,RIOT,14,16,0.933333333333,0.98,0.924473451642,0.875,1
gemini-3.8-flash,halterman_keith_bfrs,event_type,TERRORISM,14,12,0.846153846154,0.96,0.826553006251,0.916666666667,0.785714285714
gemini-3.8-flash,halterman_keith_bfrs,event_type,THREAT_OF_VIOLENCE,0,0,0,1,,,
gemini-3.8-flash,halterman_keith_bfrs,event_type,VIOLENT_POLITICAL_DEMONSTRATION,12,13,0.96,0.99,0.955294411471,0.923076923077,1
gemini-3.8-flash,halterman_keith_bfrs,event_type,OTHER,7,18,0.48,0.87,0.483553653152,0.333333333333,0.857142857143
gemini-3.8-flash,halterman_keith_cmp,policy_domain,External Relations,10,10,1,1,1,1,1
gemini-3.8-flash,halterman_keith_cmp,policy_domain,Freedom and Democracy,4,1,0.4,0.97,0.492365963917,1,0.25
gemini-3.8-flash,halterman_keith_cmp,policy_domain,Political System,13,13,0.384615384615,0.84,0.292661361627,0.384615384615,0.384615384615
gemini-3.8-flash,halterman_keith_cmp,policy_domain,Economy,17,17,0.529411764706,0.84,0.433026222537,0.529411764706,0.529411764706
gemini-3.8-flash,halterman_keith_cmp,policy_domain,Welfare and Quality of Life,42,42,0.785714285714,0.82,0.630541871921,0.785714285714,0.785714285714
gemini-3.8-flash,halterman_keith_cmp,policy_domain,Fabric of Society,9,8,0.823529411765,0.97,0.808870106954,0.875,0.777777777778
gemini-3.8-flash,halterman_keith_cmp,policy_domain,Social Groups,5,4,0.222222222222,0.93,0.187317162316,0.25,0.2
gemini-3.8-flash,haunss_papea_claims,protest_claim,Anti-Far-Right,6,9,0.666666666667,0.95,0.656225882876,0.555555555556,0.833333333333
gemini-3.8-flash,haunss_papea_claims,protest_claim,Anticapitalist,1,2,0.666666666667,0.99,0.703526470681,0.5,1
gemini-3.8-flash,haunss_papea_claims,protest_claim,Church,1,0,0,0.99,,,0
gemini-3.8-flash,haunss_papea_claims,protest_claim,COVID,1,2,0.666666666667,0.99,0.703526470681,0.5,1
gemini-3.8-flash,haunss_papea_claims,protest_claim,Democracy,3,3,0.666666666667,0.98,0.656357388316,0.666666666667,0.666666666667
gemini-3.8-flash,haunss_papea_claims,protest_claim,Economy,1,3,0.5,0.98,0.571488693326,0.333333333333,1
gemini-3.8-flash,haunss_papea_claims,protest_claim,Education,6,5,0.909090909091,0.99,0.908053634709,1,0.833333333333
gemini-3.8-flash,haunss_papea_claims,protest_claim,Environment,3,3,1,1,1,1,1
gemini-3.8-flash,haunss_papea_claims,protest_claim,Far Right,3,5,0.75,0.98,0.766569544125,0.6,1
gemini-3.8-flash,haunss_papea_claims,protest_claim,Foreign Rights,2,0,0,0.98,,,0
gemini-3.8-flash,haunss_papea_claims,protest_claim,Gender,1,2,0.666666666667,0.99,0.703526470681,0.5,1
gemini-3.8-flash,haunss_papea_claims,protest_claim,Infrastructure,13,10,0.782608695652,0.95,0.763199659594,0.9,0.692307692308
gemini-3.8-flash,haunss_papea_claims,protest_claim,International,3,1,0,0.96,-0.017674908041,0,0
gemini-3.8-flash,haunss_papea_claims,protest_claim,Labour,24,24,0.916666666667,0.96,0.890350877193,0.916666666667,0.916666666667
gemini-3.8-flash,haunss_papea_claims,protest_claim,Media,0,2,0,0.98,,0,
gemini-3.8-flash,haunss_papea_claims,protest_claim,Migration,18,8,0.615384615385,0.9,0.62939277538,1,0.444444444444
gemini-3.8-flash,haunss_papea_claims,protest_claim,Nuclear Power,1,0,0,0.99,,,0
gemini-3.8-flash,haunss_papea_claims,protest_claim,Other,0,2,0,0.98,,0,
gemini-3.8-flash,haunss_papea_claims,protest_claim,Peace,6,7,0.923076923077,0.99,0.920882357367,0.857142857143,1
gemini-3.8-flash,haunss_papea_claims,protest_claim,Peasants,1,1,1,1,1,1,1
gemini-3.8-flash,haunss_papea_claims,protest_claim,Political System,3,1,0.5,0.98,0.571488693326,1,0.333333333333
gemini-3.8-flash,haunss_papea_claims,protest_claim,Repression,0,1,0,0.99,,0,
gemini-3.8-flash,haunss_papea_claims,protest_claim,Religion,0,3,0,0.97,,0,
gemini-3.8-flash,haunss_papea_claims,protest_claim,Rights,2,0,0,0.98,,,0
gemini-3.8-flash,haunss_papea_claims,protest_claim,Social,1,1,0,0.98,-0.010101010101,0,0
gemini-3.8-flash,haunss_papea_claims,protest_claim,Solidarity,0,0,0,1,,,
gemini-3.8-flash,haunss_papea_claims,protest_claim,Tolerance,0,2,0,0.98,,0,
gemini-3.8-flash,haunss_papea_claims,protest_claim,Unclear,0,2,0,0.98,,0,
gemini-3.8-flash,haunss_papea_fgz_forms,protest_form,Demonstration / Assembly,58,57,0.991304347826,0.99,0.979746788229,1,0.98275862069
gemini-3.8-flash,haunss_papea_fgz_forms,protest_form,Petition,10,10,1,1,1,1,1
gemini-3.8-flash,haunss_papea_fgz_forms,protest_form,Strike,4,4,0.75,0.98,0.739583333333,0.75,0.75
gemini-3.8-flash,haunss_papea_fgz_forms,protest_form,Non-verbal Protest / Cultural Event,10,11,0.952380952381,0.99,0.948150778616,0.909090909091,1
gemini-3.8-flash,haunss_papea_fgz_forms,protest_form,Leaflet / Resolution / Open Letter,9,9,1,1,1,1,1
gemini-3.8-flash,haunss_papea_fgz_forms,protest_form,Attack with Damage to Property,5,5,1,1,1,1,1
gemini-3.8-flash,haunss_papea_fgz_forms,protest_form,Blockade / Sit-in,4,4,1,1,1,1,1
gemini-3.8-flash,mellon_bes_mii_2024,issue,Referendum unspecified,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,Coronavirus,30,29,0.983050847458,0.99,0.976243639258,1,0.966666666667
gemini-3.8-flash,mellon_bes_mii_2024,issue,COVID-economy,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,BLM and responses,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,health,2,2,1,1,1,1,1
gemini-3.8-flash,mellon_bes_mii_2024,issue,education,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,election outcome,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,pol-neg,5,5,0.8,0.98,0.789473684211,0.8,0.8
gemini-3.8-flash,mellon_bes_mii_2024,issue,partisan-neg,3,2,0.8,0.99,0.81232010044,1,0.666666666667
gemini-3.8-flash,mellon_bes_mii_2024,issue,societal divides,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,morals,0,1,0,0.99,,0,
gemini-3.8-flash,mellon_bes_mii_2024,issue,"nat ident, goals-loss",0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,racism/discrimination,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,welfare,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,terrorism,1,1,1,1,1,1,1
gemini-3.8-flash,mellon_bes_mii_2024,issue,immigration,8,8,1,1,1,1,1
gemini-3.8-flash,mellon_bes_mii_2024,issue,asylum,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,crime,1,1,1,1,1,1,1
gemini-3.8-flash,mellon_bes_mii_2024,issue,europe,6,4,0.8,0.98,0.807946642903,1,0.666666666667
gemini-3.8-flash,mellon_bes_mii_2024,issue,constitutional,0,1,0,0.99,,0,
gemini-3.8-flash,mellon_bes_mii_2024,issue,international trade,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,devolution,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,scot-ind,1,0,0,0.99,,,0
gemini-3.8-flash,mellon_bes_mii_2024,issue,constitution,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,foreign affairs,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,war,2,2,1,1,1,1,1
gemini-3.8-flash,mellon_bes_mii_2024,issue,defence,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,foreign emergency,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,domestic emergency,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,economy-general,8,10,0.888888888889,0.98,0.884651736929,0.8,1
gemini-3.8-flash,mellon_bes_mii_2024,issue,economy-personal,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,unemployment,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,taxation,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,debt/deficit,1,1,1,1,1,1,1
gemini-3.8-flash,mellon_bes_mii_2024,issue,inflation,3,3,1,1,1,1,1
gemini-3.8-flash,mellon_bes_mii_2024,issue,living costs,16,15,0.967741935484,0.99,0.96253342188,1,0.9375
gemini-3.8-flash,mellon_bes_mii_2024,issue,poverty,3,4,0.857142857143,0.99,0.861549790341,0.75,1
gemini-3.8-flash,mellon_bes_mii_2024,issue,austerity,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,inequality,3,3,1,1,1,1,1
gemini-3.8-flash,mellon_bes_mii_2024,issue,housing,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,social care,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,pensions/ageing,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,transport/infrastructure,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,environment,6,6,1,1,1,1,1
gemini-3.8-flash,mellon_bes_mii_2024,issue,pol value-auth,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,pol values-liberal,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,pol values-right,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,pol values-left,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,other,0,0,0,1,,,
gemini-3.8-flash,mellon_bes_mii_2024,issue,uncoded,1,2,0,0.97,-0.0143576830751,0,0
gemini-3.8-flash,muller_fujimura_campaign_policy_area,policy_area,"Agriculture, Forestry, and Fisheries",3,3,1,1,1,1,1
gemini-3.8-flash,muller_fujimura_campaign_policy_area,policy_area,Committees on Cabinet,9,1,0,0.9,-0.0316069770621,0,0
gemini-3.8-flash,muller_fujimura_campaign_policy_area,policy_area,"Economy, Trade and Industry",2,9,0.363636363636,0.93,0.454256762579,0.222222222222,1
gemini-3.8-flash,muller_fujimura_campaign_policy_area,policy_area,"Education, Culture, Sports, Science, and Technology",8,6,0.714285714286,0.96,0.701552175412,0.833333333333,0.625
gemini-3.8-flash,muller_fujimura_campaign_policy_area,policy_area,Environment,0,0,0,1,,,
gemini-3.8-flash,muller_fujimura_campaign_policy_area,policy_area,Financial Affairs,6,1,0.285714285714,0.95,0.397805427627,1,0.166666666667
gemini-3.8-flash,muller_fujimura_campaign_policy_area,policy_area,Foreign Affairs,7,6,0.769230769231,0.97,0.755849676835,0.833333333333,0.714285714286
gemini-3.8-flash,muller_fujimura_campaign_policy_area,policy_area,"Health, Labour, and Welfare",14,13,0.888888888889,0.97,0.872375041667,0.923076923077,0.857142857143
gemini-3.8-flash,muller_fujimura_campaign_policy_area,policy_area,Internal Affairs and Communications,2,3,0.8,0.99,0.81232010044,0.666666666667,1
gemini-3.8-flash,muller_fujimura_campaign_policy_area,policy_area,"Land, Infrastructure, Transport, and Tourism",9,11,0.9,0.98,0.894538875734,0.818181818182,1
gemini-3.8-flash,muller_fujimura_campaign_policy_area,policy_area,No Policy Area,38,36,0.891891891892,0.92,0.829236178702,0.916666666667,0.868421052632
gemini-3.8-flash,muller_fujimura_campaign_policy_area,policy_area,Security,2,4,0.666666666667,0.98,0.699854212224,0.5,1
gemini-3.8-flash,ornstein_scotus_sentiment,sentiment,Positive,21,20,0.536585365854,0.81,0.417374323719,0.55,0.52380952381
gemini-3.8-flash,ornstein_scotus_sentiment,sentiment,Negative,67,36,0.621359223301,0.61,0.349132765757,0.888888888889,0.477611940299
gemini-3.8-flash,ornstein_scotus_sentiment,sentiment,Neutral,12,44,0.428571428571,0.68,0.416597790451,0.272727272727,1
gemini-3.8-flash,osnabruegge_cross_domain_topic,policy_domain,External Relations,5,6,0.909090909091,0.99,0.908053634709,0.833333333333,1
gemini-3.8-flash,osnabruegge_cross_domain_topic,policy_domain,Freedom and Democracy,17,2,0.210526315789,0.85,0.315657814639,1,0.117647058824
gemini-3.8-flash,osnabruegge_cross_domain_topic,policy_domain,Political System,21,17,0.526315789474,0.82,0.420266015995,0.588235294118,0.47619047619
gemini-3.8-flash,osnabruegge_cross_domain_topic,policy_domain,Economy,21,28,0.734693877551,0.87,0.662726234709,0.642857142857,0.857142857143
gemini-3.8-flash,osnabruegge_cross_domain_topic,policy_domain,Welfare and Quality of Life,18,20,0.736842105263,0.9,0.676752968184,0.7,0.777777777778
gemini-3.8-flash,osnabruegge_cross_domain_topic,policy_domain,Fabric of Society,7,3,0.6,0.96,0.641013556776,1,0.428571428571
gemini-3.8-flash,osnabruegge_cross_domain_topic,policy_domain,Social Groups,9,4,0.153846153846,0.89,0.114122798003,0.25,0.111111111111
