model,n,tasks,mean_task_f1,item_ci_low,item_ci_high,task_ci_low,task_ci_high,malformed,malformed_rate,truncated,input_tokens,output_tokens,cost_usd_upper,uncertain_attempt_cost_upper,returned_models,documented_versions,run_submitted_dates,observed_completion_dates,access,hardware_tier,settings,cost_note,revision,quantization,hardware,run_dates,model_id,compatibility_group,throughput_note,prediction_sha256,throughput_keyset_sha256,throughput_settings_sha256,throughput_items,throughput_hardware,gpu_hours_historical,gpu_hours_backfill,gpu_hours_note,sacct_attempts_sha256,generation_tokens_per_second,generation_items_per_second,gpu_hours,provider,gpu_hours_preinference,gpu_hours_pilot,gpu_hours_remainder,preinference_failed_attempt_ids
qwen2_5_72b_instruct_fp8_dynamic,3300,33,0.648339651346,0.610752828699,0.65492268912,0.59199658119,0.70709025075,0,0,,,,,,,,,,open,single-gpu,"{""cuda_component_versions"": {""nvidia-cuda-cccl"": ""13.0.85"", ""nvidia-cuda-crt"": ""13.0.88"", ""nvidia-cuda-nvcc"": ""13.0.88"", ""nvidia-cuda-nvrtc"": ""13.0.88"", ""nvidia-cuda-runtime"": ""13.0.96"", ""nvidia-nvvm"": ""13.0.88""}, ""cuda_toolkit_meta_version"": ""13.0.2"", ""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_num_seqs"": 16, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""runtime_lock_sha256"": ""4f46101fa493e38b312af034b8d740c612bd0001bab4cb0f624f4a9e1c49f5b3"", ""seed"": 20260820, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""tensor_parallel_size"": 1, ""tokenizer_revision"": ""4d9910ef10cf92b072dad8ce7c2a2929fac4fe0f"", ""vllm_version"": ""0.26.0""}",,4d9910ef10cf92b072dad8ce7c2a2929fac4fe0f,FP8 dynamic,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-20"", ""2026-08-21"", ""2026-09-15""]",RedHatAI/Qwen2.5-72B-Instruct-FP8-dynamic,4e0e1dd19a76687f79aea1ad47310528bba0ab9ac8ff8aed060a175d787f4774,"Generation rate covers only the frozen missing-item remainder on Hive; model load, historical reused rows and queue time are excluded. Compare rates only for the same keyset, generation/runtime and batch concurrency settings, and GPU hardware.",a5c6ea895723100b2cf2aca0b6698172bd52a96cffe6457fb3b4f3cb3da299ff,9489627a519a6198036445f8c0701367acee177c26e0a85019daf48918113ba4,e4f2e4fee4ea86c0b88871ade9e6539f6429df5388846e4aaf72a21c1e83533c,2142,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.345277777778,0.147222222222,"Allocated GPU time includes full historical source jobs and all recorded backfill attempts, including failed attempts. Historical jobs processed more than the frozen comparison panel; GPU time is not a matched speed or an economic cost estimate.",5234e19457aa073e71868d8b6b9abe140d3e195e3de798fa0c8affe758e25bac,117.638591203,12.1642221751,0.4925,,,,,
qwen3_30b_a3b_bf16,3300,33,0.592656681309,0.554871615429,0.60116345094,0.52393808191,0.664331135501,0,0,,,,,,,,,,open,single-gpu,"{""cuda_component_versions"": {""nvidia-cuda-cccl"": ""13.0.85"", ""nvidia-cuda-crt"": ""13.0.88"", ""nvidia-cuda-nvcc"": ""13.0.88"", ""nvidia-cuda-nvrtc"": ""13.0.88"", ""nvidia-cuda-runtime"": ""13.0.96"", ""nvidia-nvvm"": ""13.0.88""}, ""cuda_toolkit_meta_version"": ""13.0.2"", ""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""runtime_lock_sha256"": ""4f46101fa493e38b312af034b8d740c612bd0001bab4cb0f624f4a9e1c49f5b3"", ""seed"": 20260820, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""tensor_parallel_size"": 1, ""tokenizer_revision"": ""4c446470ba0aec43e22ac1128f9ffd915f338ba3"", ""vllm_version"": ""0.26.0""}",,4c446470ba0aec43e22ac1128f9ffd915f338ba3,BF16,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-20"", ""2026-08-21"", ""2026-09-15""]",Qwen/Qwen3-30B-A3B,443abba0b6747791a4e74cd49e0d10b4460eb4cbbb36a959fa1897861bb68f09,"Generation rate covers only the frozen missing-item remainder on Hive; model load, historical reused rows and queue time are excluded. Compare rates only for the same keyset, generation/runtime and batch concurrency settings, and GPU hardware.",f6f99aa551e55683e9aa1ad9a3548e96ffd07f2bc729cd9b5e2a038dbfd0be9f,9489627a519a6198036445f8c0701367acee177c26e0a85019daf48918113ba4,9125e42369912fcb57f2239bd9d65379784878b597aa0d1568eff9e1c3478615,2142,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,1.08916666667,1.32583333333,"Allocated GPU time includes full historical source jobs and all recorded backfill attempts, including failed attempts. Historical jobs processed more than the frozen comparison panel; GPU time is not a matched speed or an economic cost estimate.",cd3cb6598304e85ba6b1b8a3e137aedf6b39a7b6652206520ca0f6a7448f85d0,1052.86834857,108.430405434,2.415,,,,,
qwen3_30b_a3b_instruct_2507_fp8,3300,33,0.629595707482,0.595231608686,0.637893421665,0.574156925656,0.690520865414,0,0,,,,,,,,,,open,single-gpu,"{""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""seed"": 20260804, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""vllm_version"": ""0.26.0""}",,5a5a776300a41aaa681dd7ff0106608ef2bc90db,FP8,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-04""]",Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,07863a8b1752e9a401108e257b5a8122d588d774c5962ebc6f995b174e10e260,Historical generation timings cover a different batch/sample size; no matched-sample speed estimate is exported.,c0784c80139ff00ebda664912ed1bc6621458853fe5dc3ae54b973d6ac953d2c,,,,,,,,,,,,,,,,
qwen3_32b_bf16,3300,33,0.647681448369,0.606586531322,0.65463786504,0.588513334905,0.708805930006,0,0,,,,,,,,,,open,single-gpu,"{""cuda_component_versions"": {""nvidia-cuda-cccl"": ""13.0.85"", ""nvidia-cuda-crt"": ""13.0.88"", ""nvidia-cuda-nvcc"": ""13.0.88"", ""nvidia-cuda-nvrtc"": ""13.0.88"", ""nvidia-cuda-runtime"": ""13.0.96"", ""nvidia-nvvm"": ""13.0.88""}, ""cuda_toolkit_meta_version"": ""13.0.2"", ""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_num_seqs"": 16, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""runtime_lock_sha256"": ""4f46101fa493e38b312af034b8d740c612bd0001bab4cb0f624f4a9e1c49f5b3"", ""seed"": 20260820, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""tensor_parallel_size"": 1, ""tokenizer_revision"": ""c36b7534bc7164e32375e869644e3f5fee30218f"", ""vllm_version"": ""0.26.0""}",,c36b7534bc7164e32375e869644e3f5fee30218f,BF16,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-20"", ""2026-08-21"", ""2026-09-15""]",Qwen/Qwen3-32B,bb016ceccfaeebbc09fbeed987f6c141b7f83858696618728d486e4fadcfd312,"Generation rate covers only the frozen missing-item remainder on Hive; model load, historical reused rows and queue time are excluded. Compare rates only for the same keyset, generation/runtime and batch concurrency settings, and GPU hardware.",3ea4a2e7d6e66e0e732492982c56de08cc17e69d562c61349694b70b23179fee,9489627a519a6198036445f8c0701367acee177c26e0a85019daf48918113ba4,e4f2e4fee4ea86c0b88871ade9e6539f6429df5388846e4aaf72a21c1e83533c,2142,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.236388888889,0.133055555556,"Allocated GPU time includes full historical source jobs and all recorded backfill attempts, including failed attempts. Historical jobs processed more than the frozen comparison panel; GPU time is not a matched speed or an economic cost estimate.",ce89bf8380236761e588cb6ebdd15e959d05732951fa37712bf96c193254baaf,137.966700292,14.7917649544,0.369444444444,,,,,
qwen3_5_35b_a3b_fp8,3300,33,0.650124201969,0.61099055362,0.656999968968,0.592086184516,0.711443272129,0,0,,,,,,,,,,open,single-gpu,"{""cuda_component_versions"": {""nvidia-cuda-cccl"": ""13.0.85"", ""nvidia-cuda-crt"": ""13.0.88"", ""nvidia-cuda-nvcc"": ""13.0.88"", ""nvidia-cuda-nvrtc"": ""13.0.88"", ""nvidia-cuda-runtime"": ""13.0.96"", ""nvidia-nvvm"": ""13.0.88""}, ""cuda_toolkit_meta_version"": ""13.0.2"", ""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""runtime_lock_sha256"": ""4f46101fa493e38b312af034b8d740c612bd0001bab4cb0f624f4a9e1c49f5b3"", ""seed"": 20260820, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""tensor_parallel_size"": 1, ""tokenizer_revision"": ""9d1823d2dee688a6b25e77009dc727688c44936e"", ""vllm_version"": ""0.26.0""}",,9d1823d2dee688a6b25e77009dc727688c44936e,not documented,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-20"", ""2026-09-15""]",Qwen/Qwen3.5-35B-A3B-FP8,34fd7feb0a689cda05915692e29cca885288decab037e50d0222f09fab784a9b,"Generation rate covers only the frozen missing-item remainder on Hive; model load, historical reused rows and queue time are excluded. Compare rates only for the same keyset, generation/runtime and batch concurrency settings, and GPU hardware.",83d20b94d60d62115dac8e932370650ae342af4824cacb1ea56a4ae6ca8c9057,5ea8192cb322015f577d79effabf6a4fc451030919328399deaade7585706e4a,0c43a25ca55e7fbbbd9674f55d4a0b3ddf43cda219ca0478cbb33d19d875a573,1565,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.166944444444,0.144444444444,"Allocated GPU time includes full historical source jobs and all recorded backfill attempts, including failed attempts. Historical jobs processed more than the frozen comparison panel; GPU time is not a matched speed or an economic cost estimate.",150e8d2402f426e44f1cf4a4d415e6f4dd912f2af68f41229f35f0938a9af68d,542.060934076,54.9896520276,0.311388888889,,,,,
qwen3_6_27b_fp8,3300,33,0.666104941877,0.628989274666,0.674144064217,0.611298198388,0.723293945323,0,0,,,,,,,,,,open,single-gpu,"{""cuda_component_versions"": {""nvidia-cuda-cccl"": ""13.0.85"", ""nvidia-cuda-crt"": ""13.0.88"", ""nvidia-cuda-nvcc"": ""13.0.88"", ""nvidia-cuda-nvrtc"": ""13.0.88"", ""nvidia-cuda-runtime"": ""13.0.96"", ""nvidia-nvvm"": ""13.0.88""}, ""cuda_toolkit_meta_version"": ""13.0.2"", ""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""runtime_lock_sha256"": ""4f46101fa493e38b312af034b8d740c612bd0001bab4cb0f624f4a9e1c49f5b3"", ""seed"": 20260804, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""vllm_version"": ""0.26.0""}",,e89b16ebf1988b3d6befa7de50abc2d76f26eb09,FP8,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-05""]",Qwen/Qwen3.6-27B-FP8,23aaca82244db8ab127c5b2df178623938be078af13ed47127d1014d9ad3c7ae,Historical generation timings cover a different batch/sample size; no matched-sample speed estimate is exported.,7e90b92dafae56915294f82e43ccb33f9bf5a789fd4d6dfad67b773f60736fbc,,,,,,,,,,,,,,,,
qwen3_6_35b_a3b_fp8,3300,33,0.64264708162,0.604179566999,0.652082964883,0.585783838428,0.70477576849,0,0,,,,,,,,,,open,single-gpu,"{""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""seed"": 20260804, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""vllm_version"": ""0.26.0""}",,95a723d08a9490559dae23d0cff1d9466213d989,FP8,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-04""]",Qwen/Qwen3.6-35B-A3B-FP8,3f89b75854d7418ebbb2fd93e454cfcca2ff3205ae25ba83395b3bf8003eda36,Historical generation timings cover a different batch/sample size; no matched-sample speed estimate is exported.,b4f88fb6e8bc125d9d33b435a6407f2bed562bd5db25f77fcf02bcf0cbd2c1a1,,,,,,,,,,,,,,,,
qwen3_8_27b_fp8,3300,33,0.634805935328,0.596532248946,0.643889176124,0.572672642909,0.700534681175,0,0,,,,,,,,,,open,single-gpu,"{""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 16384, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""runtime_lock_sha256"": ""4f46101fa493e38b312af034b8d740c612bd0001bab4cb0f624f4a9e1c49f5b3"", ""seed"": 20260910, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""tensor_parallel_size"": 1, ""tokenizer_revision"": ""017b9c7af6b5689d5dd426a76e0bc077eb5ca20a"", ""vllm_version"": ""0.26.0""}",,017b9c7af6b5689d5dd426a76e0bc077eb5ca20a,FP8,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-09-15""]",Qwen/Qwen3.8-27B-FP8,,"Generation rate covers the full frozen 3,400-item panel on Hive; model load and queue time are excluded. Compare only with the same keyset, generation/runtime and batch concurrency settings, and GPU hardware.",e68bb5c254464c909b9cce6890232b8874ecbebb0bf0a65e91247768799b9529,8f720280d0d48ad3873d84e834b3e4c79290e6fc9253b803ef29874ca69d4f64,b0e91564ff7129d69516ba96858a1485f5e4648755c4a97196196e6d4cffca91,3400,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,,,Allocated Hive GPU time includes all recorded pilot and remainder attempts plus named pre-inference failures. This is separate from generation throughput and is not an economic cost estimate.,7b606ed6ab4cc8726cb3ab3fe7dc9af1a650defa4151a54ac6c04a1ae5f4ad00,108.148991354,9.87662021493,0.253888888889,,0.0227777777778,0.0680555555556,0.163055555556,"[""23323674""]"
qwen3_8_flash_next_fp8,3300,33,0.675461435109,0.635359932694,0.682261273006,0.621256911847,0.733647654888,0,0,,,,,,,,,,open,multi-gpu,"{""container_image_sha256"": ""3b1cdfaddb920dc3a4c30bc50307a81a925e3a47ec4d1f96c693a8062327a0d6"", ""enable_thinking"": false, ""gpu_memory_utilization"": 0.85, ""kernel_config"": {""enable_flashinfer_autotune"": false, ""moe_backend"": ""triton""}, ""max_model_len"": 16384, ""max_num_seqs"": 256, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""required_environment"": {""VLLM_PLE_CPU_OFFLOAD"": ""1""}, ""runtime_lock_sha256"": ""4b721dc970ff456f9c103b83e158fcbd8ec54d714bc01916f802c783a80227be"", ""seed"": 20260910, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""tensor_parallel_size"": 2, ""tokenizer_revision"": ""236dfdf285828023ca3bcd3f37366c58a3469b13"", ""vllm_version"": ""0.1.dev20073+g8e685d198""}",,236dfdf285828023ca3bcd3f37366c58a3469b13,FP8,2 × NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-09-16""]",Qwen/Qwen3.8-Flash-Next-FP8,,"Generation rate covers the full frozen 3,400-item panel on Hive; model load and queue time are excluded. Compare only with the same keyset, generation/runtime and batch concurrency settings, and GPU hardware.",182ce86362d6090627b0ea3d53bea2b9cb72bddaaf24aba7f8ea0d2c8b9d8b11,8f720280d0d48ad3873d84e834b3e4c79290e6fc9253b803ef29874ca69d4f64,18b3eb62d2835db06fbc01e1d42908757b7eefcbbbadc86e3733b19c47ee6f00,3400,2 × NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,,,Allocated Hive GPU time includes all recorded pilot and remainder attempts plus named pre-inference failures. This is separate from generation throughput and is not an economic cost estimate.,641445b83dd6d56a5e26909836c5e83291a86bb73d0b97ce8b4fb609ffad7c03,262.707722018,23.8512711917,0.808333333333,,0.220555555556,0.272777777778,0.315,"[""23393974"", ""23478427"", ""23481914"", ""23487229""]"
qwen3_next_80b_a3b_fp8,3300,33,0.651358268197,0.61405997911,0.658530109173,0.595880991487,0.712670170045,0,0,,,,,,,,,,open,single-gpu,"{""cuda_component_versions"": {""nvidia-cuda-cccl"": ""13.0.85"", ""nvidia-cuda-crt"": ""13.0.88"", ""nvidia-cuda-nvcc"": ""13.0.88"", ""nvidia-cuda-nvrtc"": ""13.0.88"", ""nvidia-cuda-runtime"": ""13.0.96"", ""nvidia-nvvm"": ""13.0.88""}, ""cuda_toolkit_meta_version"": ""13.0.2"", ""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_num_seqs"": 16, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""runtime_lock_sha256"": ""4f46101fa493e38b312af034b8d740c612bd0001bab4cb0f624f4a9e1c49f5b3"", ""seed"": 20260820, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""tensor_parallel_size"": 1, ""tokenizer_revision"": ""c5f5f263bdd5cc134092897864e8905d8fe7b928"", ""vllm_version"": ""0.26.0""}",,c5f5f263bdd5cc134092897864e8905d8fe7b928,not documented,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-20"", ""2026-09-15""]",Qwen/Qwen3-Next-80B-A3B-Instruct-FP8,2ec62ca2db48901ae6c7cee46ea5274ee9443a92c0f6badb8cf3e6276cecc726,"Generation rate covers only the frozen missing-item remainder on Hive; model load, historical reused rows and queue time are excluded. Compare rates only for the same keyset, generation/runtime and batch concurrency settings, and GPU hardware.",23a0ee9c21c9f95d91b1af0e36007054fdc4b7cccadc9476d4fb3191873f70c9,5ea8192cb322015f577d79effabf6a4fc451030919328399deaade7585706e4a,8b779dfb14e14b8d8202118ff653723c8f23778662e48d3c919b5a20053662b2,1565,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.228333333333,0.158611111111,"Allocated GPU time includes full historical source jobs and all recorded backfill attempts, including failed attempts. Historical jobs processed more than the frozen comparison panel; GPU time is not a matched speed or an economic cost estimate.",3a882a3a63182cdfa755f9e4603efcc24422698f29cac8c3b97f023f12feeec0,277.605171932,29.2442174255,0.386944444444,,,,,
